"X50","X51","X52"
-0.03,0.01,0.06
-0.23,-0.33,0.19
-0.02,-0.04,0.1
0,0,-0.01
-0.03,-0.06,0.02
-0.08,0.06,0.02
-0.01,-0.05,0.01
0.08,0.1,-0.06
-0.1,0.06,-0.01
0.04,-0.04,0.01
0.01,0.02,-0.01
0.01,0.01,-0.01
0.05,0.06,-0.03
0.08,0.14,-0.11
0,0.04,-0.06
0.04,-0.11,-0.16
-0.01,0.02,0.03
0.19,0.36,-0.14
0.1,-0.09,-0.27
-0.02,-0.02,-0.01
-0.02,0.21,-0.03
-0.02,-0.15,0.09
-0.28,-0.29,0.24
-0.03,0.25,-0.01
0.31,-0.06,0.13
-0.07,0.01,-0.01
0.12,-0.02,-0.06
0.16,0.27,-0.16
0.01,0.16,-0.05
-0.05,0.09,0.01
-0.02,0.03,0.03
0.1,0.16,-0.08
-0.16,-0.27,0.15
0.09,0.27,-0.23
0.32,0.49,-0.29
0.01,0.02,-0.05
-0.28,-0.12,0.08
-0.09,-0.2,0.13
0.08,0.14,-0.09
-0.08,-0.13,0.07
-0.22,-0.36,0.21
-0.12,-0.19,0.1
0.1,-0.31,-0.42
0,0,0.01
-0.04,0.05,0.05
0.06,-0.06,-0.03
-0.18,0.2,0.14
-0.29,0.33,0.25
0.09,-0.11,-0.1
-0.05,0.13,0.16
-0.03,0.05,0.05
0.22,-0.3,-0.28
-0.05,0.07,0.07
-0.2,0.21,0.13
0.06,-0.07,-0.05
-0.02,0.05,0.05
0,0.01,0.01
-0.04,0.06,0.06
-0.05,0.11,0.13
-0.06,0.09,0.08
0.03,-0.04,-0.04
0.03,-0.04,-0.03
0.03,-0.03,-0.03
-0.18,0.23,0.2
0.02,-0.02,-0.02
-0.01,0.01,0.01
-0.03,0.06,0.07
0.12,-0.27,-0.32
0,0,-0.01
0,0,0
0,-0.01,-0.01
0.19,-0.21,-0.15
-0.12,0.13,0.09
-0.13,0.05,-0.05
-0.14,0.06,-0.05
-0.13,0.22,0.22
0.04,-0.08,-0.09
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.02,0,-0.02
-0.15,0.01,-0.14
0,0,0
0.03,0,0.03
0,0,0
0.72,-0.06,0.65
0,0,0
0,0,0
0,0,0
