"X11"
-0.24774
-0.38136
-0.03954
-0.19299
-0.26199
0.29074
-0.28381
-0.19152
0.2173
0.20749
-0.65829
0.47507
0.2254
0.21059
-0.04054
-0.19959
-0.26155
0.29083
-0.28394
-0.17822
0.21279
0.20749
-0.65823
0.47494
0.22426
0.2139
0.20939
-0.60034
0.19543
0.20523
0.20922
0.19768
0.21187
