"X86","X87","X88"
-0.21,0.26,0.23
0.02,-0.08,0.01
-0.06,0.04,0
0.05,-0.02,-0.04
-0.03,0.04,0.04
-0.1,-0.09,0.01
0.11,-0.14,-0.11
-0.03,0,0.01
0.11,-0.01,-0.01
-0.07,-0.03,-0.03
0.01,-0.01,0
-0.01,0.01,0.02
-0.05,0.1,0.02
0.06,-0.1,-0.14
-0.05,0.09,0.08
0.07,0.19,-0.13
-0.2,0.29,0.25
0,-0.01,0
-0.11,-0.1,0.14
0.12,0.16,-0.11
0.09,-0.21,-0.16
0.22,-0.23,-0.17
-0.07,0.01,0.04
0,0.34,0.26
-0.14,0,-0.01
-0.2,0.02,-0.2
-0.23,0.17,0.18
0.08,-0.16,-0.13
-0.15,0.09,0.12
-0.16,-0.06,0.07
0.01,-0.06,-0.03
0.17,-0.25,-0.21
0.11,-0.14,-0.14
0.25,-0.33,-0.24
-0.1,0.09,0.03
-0.22,0.41,0.38
-0.21,0.03,-0.02
0.02,-0.11,-0.11
0.06,-0.1,-0.09
0.05,-0.03,-0.01
-0.12,0.18,0.15
0.24,-0.33,-0.28
0,0.01,0
0.21,0.39,-0.31
-0.01,-0.03,0.01
0.12,0.11,-0.02
-0.14,-0.14,0.05
0.19,0.18,-0.06
0.33,0.32,-0.1
0.02,0.03,-0.02
-0.11,-0.17,0.11
0.08,0.09,-0.04
0.32,0.37,-0.17
0.09,0.08,-0.02
0.1,0.05,0.03
0.01,0.01,-0.01
0.13,0.12,-0.03
-0.16,-0.21,0.12
0.04,0.05,-0.02
-0.09,-0.08,0.02
-0.18,-0.19,0.07
-0.04,-0.04,0.02
0.14,0.15,-0.06
-0.01,-0.01,0
-0.07,-0.09,0.05
-0.01,-0.01,0
-0.21,-0.35,0.23
-0.05,-0.08,0.05
0.01,0.02,-0.01
0.01,0.01,-0.01
0,-0.01,0.01
0.14,0.14,-0.05
0.23,0.22,-0.07
-0.14,-0.02,-0.09
0.14,0.03,0.07
-0.08,-0.1,0.05
-0.19,-0.25,0.13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0.01
0,0,0
0,0,0
0.02,0,0.02
0,0,0
0.41,-0.14,0.48
0,0,0
0.48,-0.16,0.57
0,0,0
0,0,0
