,cross,cross_angle,para,para_angle,Frequency_Stretch_5_6,Dot_product_Stretch_5_6,Frequency_Stretch_7_8,Dot_product_Stretch_7_8,aniso,iso
LS1621_optimized,3093.33,77.6912806360084,3090.2051,37.835090918646394,3090.2051,0.1063183,3008.5635,0.42372713999999995,159.939,967.135
LS1622_optimized,3118.401,79.66375520677758,3118.401,79.66375520677758,3013.257,0.46748474000000007,3118.401,0.5991512999999999,175.543,111.655
LS1624_optimized,3237.4326,59.322556109997024,1526.9386,16.02118658474125,3030.5739,0.19159202999999997,3130.0689,0.08444225999999999,237.77599999999998,147.91199999999998
LS1630_optimized,1629.3915,89.66190292761611,1507.48,5.736364911204077,3024.8468,0.38682626999999997,3093.1273,0.24557854,178.483,103.393
LS1640_optimized,1695.6141,86.59284029871327,1503.8685,11.8802054338689,3094.431,0.44941534999999994,3066.0384,0.16122461,234.33100000000002,108.304
