,cross,cross_angle,para,para_angle,Frequency_Bending_7-5,Cross_mag_Bending_7-5,Frequency_Bending_4-5,Cross_mag_Bending_4-5,atom_8_charge,atom_7_charge,atom_14_charge,atom_5_charge,atom_4_charge,diff_8-7_charge,diff_14-7_charge,diff_4-5_charge,B5_7-8,L_7-8,loc_B1_7-8,loc_B5_7-8,B1_8-7,B5_8-7,L_8-7,loc_B1_8-7,loc_B5_8-7,B1_8-9,B5_8-9,L_8-9,loc_B1_8-9,loc_B5_8-9,B1_6-7,B5_6-7,L_6-7,loc_B1_6-7,loc_B5_6-7,B5_6-5,L_6-5,loc_B1_6-5,loc_B5_6-5,bond_length_5-8,bond_length_6-7,bond_length_4-6,bond_length_4-7,"dihedral_[5, 6, 7, 8]","dihedral_[4, 6, 7, 8]","angle_[2, 5, 6]",aniso,iso,output
LS1621_optimized,0.01139449,0.959824184,0.538334862,0.589728507,0.935508374,0.728119309,0.92504012,0.563861187,0.501113035,0,1,0.55147769,0.334873894,0.83836296,1,0.221130221,0.004545455,0.00154321,0,0.738013699,0,0.331491713,0.013274336,0.996,0.578828829,0,0.001824818,0.011494253,0.438914027,0.001996008,0,0.005291005,0.004255319,0,0.047904192,0.384057971,0.243559719,0.967741935,0.739750446,0.048814916,0.015133184,0.196732928,0.030518653,0.038236468,0.94582912,0.834662526,0.134086218,0.866498681,0.04739536
LS1622_optimized,0.458238188,0.934083252,0.434222639,0.203815628,0,0.604465201,0.977376981,0.138670937,1,0.249969941,0.957171717,1,0.505083851,1,0.865480794,0.105762788,0.827272727,0.041666667,0,0.63869863,0.226315789,0.328729282,0.017699115,0.476,0.587837838,0.212903226,0.003649635,0.53256705,1,0,0.652173913,0.005291005,0.595744681,1,0.050898204,0.384057971,0.245901639,0.967741935,0.739750446,0.02355121,0,0,0,0.016064959,0.969721861,0.528266189,0.240429923,0.992444024,0.26486515
LS1624_optimized,0.461727993,0.892441553,0.524126818,0.288487534,0.994114944,0,0.906409581,1,0.553302003,0.695082361,0.804929293,0.06837937,0.300541397,0.395287309,0.57746842,0.471409426,0.004545455,0.666666667,0.991666667,0.738013699,0.131578947,0.337016575,0,0.732,0.563063063,0.24516129,0.253649635,0.69348659,0.604072398,0.842315369,0.173913043,0.707231041,0.70212766,0.711864407,0.550898204,0.387681159,0.243559719,0.967741935,0.739750446,0.017901728,0.085570743,0.119791656,0.037971138,0.060894744,0.924932344,0.792373496,0.681638693,0.035464249,1.027102211
LS1630_optimized,0.002002261,0.026446671,0.524830064,0.092317919,0.000348595,0.006262352,0.928239731,0.042581292,0.349492951,0.844054347,0,0.156268109,0.258550112,0.156593634,0,0.385079294,0.618181818,0,0,0,0.078947368,0.331491713,0.013274336,0.996,0.578828829,0,0.379562044,0.01532567,0.441176471,0.716566866,0.115942029,0.380952381,0.004255319,0.581355932,0.233532934,0.384057971,0.243559719,0.983870968,0.740641711,0.054429428,0.127187032,0.291887872,0.059306937,0.038019195,0.945703968,0.968019515,0.268834456,0.929098573,0
LS1641_optimized,0.078141223,0.501259727,0.0478278,0.253305966,0.938497242,0.066290878,0.088571826,0.057058392,0,0.482866418,0.615191919,0.03090593,0.098111713,0.171310459,0.547409126,0.321867322,1,0.160493827,1,0.241438356,0.078947368,0.334254144,0.008849558,0.996,0.572072072,0.2,0.23540146,0.352490421,0.438914027,0.847305389,0.420289855,0.223985891,0.408510638,0.920338983,0.655688623,0.387681159,0.243559719,0.967741935,0.739750446,0.037455915,0.093475805,0.125843863,0.0464175,0.045639601,0.938223688,0.74700726,0.374967873,0,1.881807985
LS1642_optimized,0.580731603,0.972397418,0.530894236,0.361926957,0.962029097,0.151909388,0.059341799,0.544335389,0.543779372,0.667909102,0.802989899,0.132895499,0.289713456,0.407606449,0.587883475,0.424949743,0.290909091,0.827160494,1,0.979452055,0.668421053,0.32320442,0.030973451,0.176,0.601351351,0.980645161,0.607664234,0.272030651,0,0.258483034,0.956521739,0.901234568,0.578723404,0.603389831,0.428143713,0.384057971,0.243559719,0.983870968,0.740641711,0,0.063909132,0.144025775,0.04780247,0.018839337,0.994357913,0.879752472,0.949297091,0.022742372,1.881807985
LS1643_optimized,0.608446639,0,0.527307327,0.074687908,0.133693494,0.192342965,0.173823663,0.129622349,0.238189463,0.409041722,0.859474747,0.001545297,0.059685726,0.381314593,0.734931683,0.306343534,0.004545455,1,0.991666667,0.738013699,0.121052632,0.334254144,0.004424779,0.248,0.567567568,0.238709677,0.54379562,1,0.604072398,1,0.15942029,1,1,0.711864407,1,0.387681159,0.241217799,0.967741935,0.739750446,0.012050114,0.088455028,0.133471861,0.043071129,0.049468548,0.936199249,0.799682362,0.849036177,0.062206246,2.304447597
LS1661_optimized,0.017167792,0.948668373,0.513355491,0.128329714,0.956384057,0.21029993,0.098964736,0.486663506,0.277022013,0.37333173,0.838464646,0.050994785,0.048065496,0.431831335,0.736839392,0.26792495,0,0.163580247,0.991666667,0.738013699,0.063157895,0.331491713,0.013274336,0.996,0.576576577,0.193548387,0,0,0.441176471,0.001996008,0.115942029,0.197530864,0,0.603389831,0,0.384057971,0.243559719,0.983870968,0.739750446,0.041789689,0.084051285,0.203412646,0.041781531,0.036272079,0.947109774,0.880248108,0.233451458,0.871409671,2.304447597
LS1663_optimized,0.03405081,0.555256624,0.5304631,0.241353327,0.165671545,1,1,0.129339276,0.250680188,0.05819406,0.982222222,0.128645934,0.280734187,0.630921869,0.963701985,0.419812374,0,0.330246914,1,0.738013699,0.557894737,0.334254144,0.013274336,0.208,0.578828829,0.683870968,0,0.214559387,0.452488688,0.000998004,0.652173913,0.333333333,0.208510638,0.63220339,0.473053892,0.384057971,0.243559719,0.983870968,0.740641711,0.045397421,0.041503056,0.208825628,0.038991286,0.035492044,0.948353349,0.910390826,0.419369913,0.905046679,1.743478581
LS1664_optimized,0.364574139,0.991448559,0.537046755,0,0.898355898,0.216223444,0.203312712,0.234187828,0.622062825,0.250811591,0.909090909,0,0.061270302,0.746754857,0.834441866,0.308577172,0.745454545,0.662037037,0.991666667,1,0.894736842,0.337016575,0.004424779,0,0.560810811,1,0.255474453,0.593869732,0.457013575,0.838323353,1,0.698412698,0.629787234,0.603389831,0.562874251,0.387681159,0.241217799,0.983870968,0.739750446,0.065315102,0.047393745,0.301235908,0.043215649,0.071805387,0.909714735,0.975267481,0.909786207,0.791083294,1.125606917
LS1688_optimized,1,0.671214158,0.393600461,0.791129595,1,0.18780852,0.094850147,0.053180761,0.275661637,1,0.344242424,0.359860923,0.854086888,0,0.152771333,0.771052044,1,0,0,0.23630137,0.931578947,0.70718232,0.411504425,0.092,0.786036036,0.206451613,0.989051095,0.379310345,0.438914027,0.375249501,0.086956522,0.23633157,0.4,0.920338983,0.646706587,0.561594203,0.238875878,0,0.002673797,0.827653028,0.956541543,0.114279392,0.807529687,0.882202002,0.173119632,0.241813133,0.938915067,0.883961231,1.369963165
LS1690_optimized,0.364574139,0.991448559,0.537046755,0,0.898355898,0.216223444,0.203312712,0.234187828,0.622062825,0.250811591,0.909090909,0,0.061270302,0.746754857,0.834441866,0.308577172,0.745454545,0.662037037,0.991666667,1,0.894736842,0.337016575,0.004424779,0,0.560810811,1,0.255474453,0.593869732,0.457013575,0.838323353,1,0.698412698,0.629787234,0.603389831,0.562874251,0.387681159,0.241217799,0.983870968,0.739750446,0.065314881,0.047393745,0.301235908,0.043215649,0.071806214,0.909714735,0.97530954,0.909786207,0.791083294,1.629255324
LS1714_target,0,0.903939961,0.56949679,0.189969494,0.990094675,0.536437923,0.918715128,0.004508568,0.190699975,0.509678971,0.148848485,0.444079583,0,0.280363787,0.238360402,0,0.618181818,0,0,0,0.084210526,0,0.008849558,1,0.54954955,0,0.379562044,0.01532567,0.441176471,0.716566866,0.115942029,0.380952381,0.004255319,0.581355932,0.233532934,0,0,0.967741935,0.573083779,0.058554719,0.125589346,0.403588536,0.053354312,0.009257347,0.980551997,0.571805878,0,0.82963242,0
LS1715_optimized,0.459368439,0.872672637,0.043530578,0.499561263,0.917845465,0.100591814,0.950798336,0,0.167697255,0.500300589,0.156848485,0.181958663,0.024164796,0.271434477,0.247486466,0.171990172,0.618181818,0,0,0,0.1,1,0.048672566,0.856,0,0.206451613,0.379562044,0.01532567,0.441176471,0.716566866,0.115942029,0.380952381,0.004255319,0.581355932,0.236526946,0.054347826,1,0.967741935,1,0.027034805,0.086880939,0.304878711,0.07645849,0.020447839,0.978475816,0.839427124,0.502768799,0.046216767,0.071140559
LS1716_optimized,0.135976836,0.503678238,0.070029526,0.296740691,0.025334455,0.093912982,0,0.081405608,0.322285432,0.828664182,0.466585859,0.215182538,0.317707646,0.148987185,0.304305233,0.40104981,1,0,0,0.238013699,0.121052632,0.356353591,0.053097345,0.74,0.599099099,0.083870968,0.226277372,0.375478927,0.438914027,0.854291417,0.15942029,0.229276896,0.404255319,0.920338983,0.652694611,0.362318841,0.306791569,0.967741935,0.757575758,0.055980323,0.005733214,0.234986342,0.037980485,0,0.983120392,0.360694943,0.196596441,0.006050195,0.04739536
LS1717_optimized,0.492573771,0.410432794,1,0.616429151,0.013617796,0.293536882,0.157466104,0.064528288,0.327850606,0.806300349,0.47410101,0.297276415,0.345437739,0.168085986,0.318690384,0.377038195,1,0,0,0.23630137,0.115789474,0.817679558,0.053097345,0.472,0.274774775,0,0.226277372,0.375478927,0.438914027,0.854291417,0.173913043,0.229276896,0.408510638,0.918644068,0.652694611,0.677536232,0.475409836,0.967741935,0.951871658,0.019437391,0.000599339,0.070144495,0.035431024,0.003888448,1,0.225267889,0.415740488,0.031638324,0
LS1687_optimized,0.967880699,0.270785388,0.418397836,0.412864256,0.90776728,0.355293404,0.888662573,0.072527951,0.178456592,0.37970422,0.692444444,0.27622175,0.807738017,0.361554361,0.640938386,0.780209962,1,0,0,0.23630137,0.910526316,0.430939227,0.5,0.472,0.47972973,0.174193548,0.806569343,0.379310345,0.438914027,0.26746507,0.057971014,0.23633157,0.4,0.922033898,0.646706587,0.365942029,0.320843091,0,0.756684492,0.806483795,1,0.089672286,0.907170593,0.895162145,0.164941874,0.565529023,0.919825538,0.952984661,1.53164576
LS1689_optimized,0.641621902,0.901174921,0,0.566128523,0.011993077,0.441547087,0.886571864,0.015394729,0.293841207,0.937477456,0.30779798,0.319876376,0.379374092,0.055146755,0.156328951,0.392673665,0.995454545,0,0,0.232876712,0.373684211,0.464088398,1,0.156,1,0.761290323,0.868613139,0.375478927,0.93438914,0.221556886,0,0.225749559,0.412765957,0.250847458,0.655688623,1,0.215456674,1,0.257575758,1,0.866176291,1,1,1,0,1,1,1,1.36996316
LS1685_optimized,0.906850667,1,0.37442022,1,0.994200877,0.348765336,0.972348885,0.078927932,0.717289142,0.78297463,0.816888889,0.652501449,0.969100753,0.444481191,0.547409126,0.699128881,0.827272727,0.035493827,0,0.63869863,1,0.635359116,0.561946903,0.668,0.918918919,0.174193548,1,0.536398467,0.438914027,0.362275449,0.594202899,0.001763668,0.595744681,0.603389831,0.05988024,0.543478261,0.238875878,0,0,0.591323845,0.838024251,0.111655719,0.790860745,0.787626834,0.279586611,0,0.908680245,0.988955349,1.74347858
LS1696_optimized,0.926843203,0.754468927,0.390598413,0.762919489,0.110005934,0.281750194,0.007125892,0.029247673,0.653104131,0.630034868,0.746666667,0.177322774,1,0.506738322,0.568187677,1,0.004545455,0.00154321,0,0.738013699,0.536842105,0.718232044,0.473451327,0.584,0.493243243,0.2,0.905109489,0.011494253,0.441176471,0.44510978,0,0,0.008510638,0.250847458,0.05988024,0.413043478,0.238875878,0,0.024064171,0.726790904,0.912671978,0.224030412,0.809117126,0.835530167,0.227516246,0.379183947,0.80223529,0.961085426,1.02710221
LS1700_optimized,0.733868308,0.997096646,0.966907121,0.897368584,0.105698131,0.245684864,0.003913479,0.168112123,0.22245651,0.416431684,0.086744352,0.343951203,0.435815364,0.413665109,0.199169291,0.510558069,0.131707317,0.593922652,0.125263158,0.733617021,0.293617021,0.199475066,0.01512605,0.003565062,0.771060456,0.712765957,0.210449927,0.195592287,0.295302013,0.748433303,0.111888112,0.541436464,0.189488243,0.136439268,0.525071633,0.538461538,0.19047619,1,0.024390244,0.025224163,0.220824449,0.784409448,0.117542985,0.00217409,0.998258846,0.862490125,0.123172301,0.029964388,0
LS1702_optimized,0.404064153,0.977648297,0.406646644,0.434427697,0.126335986,0,0.925080519,0.276768772,0.38323669,0.852730069,0.017878928,0.503896984,0.99393531,0.029557327,0.030314196,0.939064857,0.317073171,0.740331492,0.448421053,0.698723404,0.961702128,0.223097113,0.001680672,0.244206774,0.738354807,1,0.338171263,0.292011019,0.191754554,0.774395703,0.615384615,0.662983425,0.266943292,0.029950083,0.545845272,0.615384615,0.19047619,0.5,0.008130081,0.030486293,0.182550072,0.755105526,0.142877179,0.094303031,0.905390536,0.827619902,0.615386302,0.839472951,0
LS1703_optimized,0.664992132,0.923430034,0.890018806,0,0.038244951,0.035579387,0.107250948,0.334696705,0.569847127,0.866572674,0.012325943,0.741443578,0.942722372,0.112042892,0.022275072,0.787481146,0.338211382,0.767955801,0.743157895,1,0.446808511,0.204724409,0.008403361,0.32798574,0.765113974,0.64893617,0.507982583,0.575757576,0.189837009,0.540734109,0.202797203,0.806629834,0.560165975,0.136439268,0.349570201,0.538461538,0.19047619,1,0.024390244,0.010939535,0.217548657,0.726754799,0.142696322,1.99E-05,0.988500673,0.845973136,0.750402094,0.067922661,0
LS1704_optimized,0.822998317,0.970280153,0.959825413,0.469615116,0.996489692,0.179279768,0.185207389,0.381133491,0.453083817,0.914252756,0,0.521856998,1,0,0,0.936500754,0.001626016,0.878453039,0.596842105,0.582978723,0,0.202099738,0.011764706,0.68627451,0.768087215,0.186170213,0.531204644,0.252066116,0.437200384,0.772605192,0,0.852209945,0.230982019,0.332778702,0.534383954,0.538461538,0.19047619,1,0.024390244,0.015557802,0.227460668,0.715059438,0.123862209,0,0.995808108,0.848868624,0.197625453,0.059775459,0
LS1705_optimized,0.297615614,0,0.96689028,0.335606449,0.897617239,0.043347011,0.92627044,0.247330185,0.602530311,0.122019995,0.123217366,0.344967808,0.933456873,0.927687655,0.305151738,0.955656109,0.268292683,0.886740331,0.125263158,0.715744681,0.642553191,0.212598425,0.003361345,0.244206774,0.753221011,0.819148936,0.468795356,0.309917355,0.192713327,0.858549687,0.412587413,0.787292818,0.290456432,0.029950083,0.614613181,0.538461538,0.174603175,1,0.024390244,0.041138352,0.180940213,0.975385035,0.14233351,0.051606009,0.941235849,0.916187398,0.397151714,0,0
LS1706_optimized,0.449242504,0.964514944,0.825651893,0.264865143,0.999663695,0.006199615,0.897477179,0.220198296,0.037954665,0.235324276,0.123427706,0.283971535,0.930424528,0.511685455,0.275708448,0.980090498,0.001626016,0.595303867,0.125263158,0.583829787,0.029787234,0.215223097,0,0.684491979,0.75024777,0.191489362,0.204644412,0.191460055,0.25599233,0.753804834,0.020979021,0.541436464,0.170124481,0.136439268,0.52722063,0.615384615,0.174603175,0.5,0.016260163,0.012403287,0.209057863,0.680159637,0.133097497,0.050186493,0.945172722,0.812289495,0.942632179,0.065835976,0
LS1708_optimized,1,0.561223289,1,0.126604372,0.125566768,0.243236325,1,0.155364409,0.785187138,0.5526788,0.158638677,0.533717384,0.343328841,0.561039318,0.220807932,0.343288084,0.03902439,0.683701657,0.125263158,0.732765957,0.391489362,0.212598425,0,0.003565062,0.752229931,0.643617021,0.300435414,0.231404959,0.356663471,0.76007162,0.237762238,0.620165746,0.218533887,0.029950083,0.540114613,0.615384615,0.19047619,0.5,0.008130081,0.019233719,0.119609965,0.598394208,0.024734694,0.052583686,0.942241871,0.729012667,0.027028015,0.014204337,0
LS1709_optimized,0.946396648,0.895402755,0.299971931,0.186385408,1,0.190972823,0.996730165,0.095437622,0.0985767,0.66534222,0.149930588,0.672653338,0.338780323,0.082073137,0.184430897,0.277375566,0.219512195,0.716850829,0.637894737,0.956595745,0.323404255,0.212598425,0.001680672,0,0.755203171,0.404255319,0.445573295,0.460055096,0.190795781,0.570277529,0.125874126,0.755524862,0.443983402,0.136439268,0.377507163,0.538461538,0.206349206,0.5,0.016260163,0,0.159188438,0.469029991,0.063873488,0.034709221,0.960943651,0.728032579,0.218176102,0.045477553,0
LS1710_optimized,0.850577021,0.986830629,0.991309962,0.592262554,0.078422651,0.112090131,0.07836835,0.270253428,0.571692145,0.910792105,0.031803458,0.502541511,0.953167116,0.065576024,0.026227641,0.903167421,0.001626016,1,1,0.583829787,0.110638298,0.209973753,0.003361345,0.452762923,0.756194252,0.218085106,0.69521045,0.316804408,0.189837009,0.683974933,0.013986014,1,0.282157676,0.136439268,0.462750716,0.615384615,0.174603175,0.5,0.016260163,0.014838603,0.203479631,0.644012917,0.104275568,0.037941936,0.956929878,0.78239521,0.308713007,0.074927879,0
LS1711_optimized,0.720030278,0.70054069,0.315258091,0.424503323,0.022889798,0.174038195,0.173696872,0.13799569,0.697680548,0.100871571,0.151571242,0.66485937,0.368092992,1,0.333255175,0.307088989,0.585365854,0.214088398,0,0.785531915,0.178723404,0.330708661,0.008403361,0.459893048,0.139742319,0.409574468,0.081277213,0.58953168,0,0.752014324,0.300699301,0.124309392,0.590594744,0.029950083,0.608882521,0.538461538,0.19047619,1,0.024390244,0.045529609,0.056501684,0.855067373,0.062527756,0.028754426,0.964887203,0.864955016,0.15509855,0.072747626,0
LS1713_optimized,0.807130401,0.795042005,0.148028181,0.263493154,0.10984349,0.046149762,0.924235091,0.284979109,0.673695308,0.765060241,0.027428379,0.644527279,0.968160377,0.275089359,0.06082937,0.853393665,0.796747967,0.299723757,0.126315789,0.74212766,0.69787234,0.67191601,0.008403361,0.340463458,0.191278494,0.643617021,0.226415094,0.736914601,0,0.726051925,1,0.317679558,0.738589212,0.029950083,0.522206304,0.538461538,0.19047619,1,0.024390244,0.044646774,0.101825792,0.859177577,0.079575473,0.030619908,0.962202477,0.871947347,0.648935548,0.053683376,0
LS1719_optimized,0.926527374,0.873536295,0.536348837,0.491074149,0.037444226,0.019295877,0.037661317,0.128544982,0.799156563,1,0.055992596,0.835310064,0.999494609,0.088534506,0.022174583,0.79653092,0.699186992,0.310773481,0,0.785531915,0.272340426,0.514435696,0.010084034,0.458110517,0.139742319,0.521276596,0.029027576,0.680440771,0,0.759176365,0.314685315,0.095303867,0.683264177,0.344425957,0.732091691,0.538461538,0.222222222,0.5,0.024390244,0.033005087,0.082569046,0.636403457,0.006885355,0.017645952,0.976318511,0.759798687,0.082860568,0.080875664,0
LS1720_optimized,0.919544468,0.721173645,0.232812193,0.499186361,0.933619428,0.197757664,0,0.233238696,0.916710596,0.902845424,0.086912625,0.74855981,0.987365229,0.25405554,0.072184632,0.82428356,0.876422764,0.490331492,0,0.651914894,0.34893617,0.800524934,0.008403361,0.340463458,0.295341923,0.819148936,0.193033382,0.695592287,0.563758389,0.981199642,0.482517483,0.26519337,0.702627939,0.906821963,0.674068768,0.538461538,0.206349206,0.5,0.016260163,0.038280478,0.058587176,0.666104722,0,0.025459882,0.968842194,0.762827907,0.268489005,0.088912387,0
LS1721_optimized,0.843034315,0.508391291,0.269382771,0.661864197,0,0.403372467,0.936130001,0.385868236,0.434370058,0.326070238,0.164444071,0.59776347,0.416778976,0.621116305,0.284651973,0.380542986,1,0.544198895,0,0.897021277,0.106382979,1,0.008403361,0.459893048,0.009910803,0.420212766,0,1,1,0,0.251748252,0.070441989,1,0.745424293,1,0.538461538,0.19047619,0.5,0.016260163,0.044184676,0.036627956,0.786392344,0.033367242,0.033302437,0.96058333,0.822501816,0.361445783,0.142902397,0
LS1722_optimized,0.728797244,0.155278996,0.879655879,0.350833008,0.025757335,0.175551989,0.12588586,0.011239151,0.275698471,0.099333504,0.184552606,0.542527957,0.89504717,0.781550729,0.359918269,0.833333333,0.582113821,0.001381215,0,0.169361702,0.327659574,0.325459318,0.042016807,0.456327986,0.85827552,0.069148936,0.529753266,0.20523416,0.403643337,0.793196061,0.153846154,0.494475138,0.208852006,0.008319468,0.578080229,0.615384615,0.19047619,0.5,0.016260163,0.038577406,0.182692973,0.822681598,0.116515503,0.048994223,0.944220401,0.832875594,0.12362557,0.039391107,0
LS1723_optimized,0.817952809,0.509263986,0.791225756,0.384039054,0.108615745,0.023034594,0.930153502,0.036213836,0.062467053,0.485901051,0.116191999,0.295831921,0.549696765,0.255705252,0.204461714,0.633936652,0.77398374,0.001381215,0,0.190638298,0.459574468,0.635170604,0.174789916,0.479500891,0.833498513,0.058510638,0.696661829,0.280991736,0.18696069,0.763652641,0.412587413,0.651933702,0.289073306,0.008319468,0.556590258,0.538461538,0.206349206,1,0.024390244,0.037393272,0.191295132,0.831774412,0.11709219,0.0239443,0.969802952,0.872090704,0.292658498,0.031158228,0
LS1724_optimized,0.807366491,1,0.226513599,0.628284313,0.930705308,0.117231135,0.171518917,0.084612554,0.312862414,0.251858498,0.107105296,0.380210098,0.551044474,0.637338466,0.258390835,0.597586727,0.778861789,0.001381215,0.126315789,0.192340426,0.693617021,0.643044619,0.179831933,0.417112299,0.830525273,0.212765957,0.699564586,0.287878788,0.186001918,0.76007162,0.643356643,0.654696133,0.294605809,0.224625624,0.553008596,0.538461538,0.19047619,0.5,0.016260163,0.042879008,0.184430797,0.85036797,0.104855409,0.030687398,0.961926864,0.845394624,0.61939993,0.015771324,0
LS1725_optimized,0.662688431,0.566508821,0.744679597,0.195890725,0.10885132,0.106136366,0.89151125,0.048906231,0.237216658,0.556523968,0.120567078,0.216197899,0.499663073,0.271102557,0.189488846,0.624585219,0.977235772,0,0,0.412765957,0.357446809,0.963254593,0.47394958,0.340463458,0.574826561,0.074468085,0.869375907,0.599173554,0.186001918,0.647269472,0.293706294,0.82320442,0.601659751,0.008319468,0.462034384,0.538461538,0.19047619,1,0.016260163,0.035817827,0.187363839,0.871666276,0.144031733,0.046414543,0.946676571,0.86754893,0.755344192,0.069810936,0
LS1726_optimized,0.839441854,0.065014753,0.895337806,0.706119206,0.93572917,0.104920806,0.024975699,0.041333119,0.159989457,0.457574981,0.158133861,0,0.348045822,0.336953533,0.245260267,0.585067873,0.944715447,0,0,0.131914894,0.080851064,0.910761155,0.097478992,0.607843137,0.901883053,0,0.734397678,0.433884298,0.186001918,0.952551477,0.062937063,0.689226519,0.435684647,0.008319468,0.705587393,0.538461538,0.206349206,1,0.024390244,0.034087219,0.199918282,0.846573813,0.133078548,0.025299984,0.968718307,0.878538737,0.202567552,0.079296277,0
LS1727_optimized,0.06298975,0.815768294,0.886431639,0.306581473,0.968397368,0.046727598,0.024487357,0.037206699,0,0.381953345,0.258045518,0.149101999,0.369609164,0.334616442,0.344576941,0.53800905,0.848780488,0,0,0.047659574,0.434042553,0.755905512,0.292436975,0.335115865,1,0.196808511,0.822931785,0.319559229,0.186001918,0.863921218,0.342657343,0.770718232,0.319502075,0.006655574,0.636819484,0.615384615,0.174603175,1,0.016260163,0.031106807,0.155255996,0.993621021,0.214035249,0.02823067,0.964724004,0.933904599,0.424954673,0.056740691,0
LS1728_optimized,0.542617263,0.558587093,0.509094226,0.491534428,0.944815137,0.025441806,0.939139393,0,0.339219821,0.413483722,0.181313365,0.405625212,0.497641509,0.477728897,0.275239499,0.538461538,0.595121951,0,0,0.179574468,0.085106383,0.346456693,0.042016807,0.679144385,0.845391477,0,0.516690856,0.216253444,0.186001918,0.804834378,0.062937063,0.482044199,0.217150761,0.008319468,0.58739255,0.538461538,0.19047619,1,0.024390244,0.033519348,0.194500575,0.848018716,0.131815406,0.013412416,0.980204382,0.876431914,0.948656276,0.063618521,0
LS1730_optimized,0.951235273,0.820456249,0.775715048,0.109261407,0.124682527,0.346899373,0.117293119,0.095065285,1,0.890284542,0.172815616,0.848187055,0.993766846,0.31097058,0.143866819,0.785671192,0.697560976,0.001381215,0,0.170212766,0.217021277,0.511811024,0.152941176,0.459893048,0.85728444,0,0.608127721,0.308539945,0.186001918,0.81557744,0.20979021,0.566298343,0.312586445,0.008319468,0.598137536,0.538461538,0.222222222,0.5,0.024390244,0.036733517,0.14610318,0.622453778,0.010692857,0.002138989,1,0.74202299,0.044647035,0.044896979,0
LS1731_optimized,0.926027204,0.716373851,0.289990737,0.366815456,0.933622193,0.071807979,0.10620441,0.080556934,0.575645756,0.238784927,0.169702579,0.761097933,0.92537062,0.788424526,0.31165003,0.763197587,0.876422764,0.001381215,0,0.304680851,0.353191489,0.800524934,0.359663866,0.342245989,0.700693756,0.015957447,0.766328012,0.477961433,0.186001918,0.675917637,0.342657343,0.723756906,0.481327801,0.008319468,0.48495702,0.538461538,0.206349206,0.5,0.016260163,0.040469385,0.162737442,0.701635734,0.029664275,0.033202382,0.960137375,0.759608765,0.225662358,0.055170322,0
LS1732_optimized,0.857750988,0.748352471,0.741878351,0.251738003,0.94095397,0.145109527,0.987186442,0.034060239,0.35345282,0.419635991,0.203272896,0.801423246,0.432109164,0.478553753,0.291116768,0.30361991,0.995121951,0.001381215,0,0.055319149,0.076595745,0.992125984,0.448739496,0.458110517,0.991080278,0.010638298,1,0.380165289,0.186001918,0.792300806,0.06993007,0.94198895,0.38450899,0.008319468,0.578796562,0.538461538,0.19047619,0.5,0.024390244,0.037905746,0.180116906,0.810657991,0.102894363,0.04245317,0.951265922,0.829547698,0.312200257,0.095415945,0
LS1733_optimized,0.747778139,0.994053234,0.905655823,0.422869552,0.896208848,1,0.890738524,1,0.428571429,0.579979492,0.873248917,0.053880041,0.271731806,0.345751993,0.782675688,0.492760181,0.03902439,0.001381215,0.125263158,0.185531915,0.459574468,0.002624672,0.500840336,0.573975045,0.850346878,0.042553191,0.528301887,0,0.186001918,0.189794091,0.251748252,0.501381215,0,0.008319468,0.100286533,0.307692308,0.777777778,0.5,0.073170732,0.792566249,0.746833035,0,0.231512106,0.837163541,0.183515819,0.433609515,0.017860276,0.601472516,0
LS1734_optimized,0.820430535,0.952878907,0.904684649,0.503038136,0.085008789,0.377368279,0.894887936,0.029616003,0.467843964,0.505255063,0.912203946,0.012538123,0.446765499,0.446384383,0.833221679,0.667873303,0.035772358,0.001381215,0.125263158,0.192340426,0.782978723,0.01312336,0.675630252,0.67201426,0.843409316,0.042553191,0.677793904,0,0.186001918,0.192479857,0.440559441,0.64640884,0,0.008319468,0.10530086,0.307692308,0.777777778,0.5,0.081300813,0.760217469,0.81097172,0.175814524,0.254447659,0.812572844,0.203043841,0.524019068,0.196484969,0.686061599,0
LS1735_optimized,0.778495377,0.840727172,0.26635417,0.160886753,0.109035044,0.251492042,0.925516162,0.179308699,0.42540854,0.134580877,1,0.369027448,0.496125337,0.82183118,1,0.553393665,0.289430894,0.002762431,0.126315789,0.233191489,1,0.005249344,0.677310924,0.245989305,0.853320119,0.079787234,0.682148041,0,0.186001918,0.191584602,0.65034965,0.656077348,0,0.003327787,0.12034384,0.615384615,0.365079365,0.5,0.016260163,1,1,0.083816072,0.292796405,1,0,0.745676054,0.524549655,0.423237394,0
LS1736_optimized,0.632582105,0.874696466,0.84511466,0.370551645,0.076081976,0.132408672,0.888363864,0.61577411,0.687664734,0.352089208,0.877161247,0.308708912,0.353268194,0.725323068,0.845347357,0.452337858,0.273170732,0.002762431,0.125263158,0,0.872340426,0.11023622,0.61512605,0.52228164,0.721506442,0,0.830188679,0,0.186001918,0.350044763,0.440559441,0.79558011,0,0.004991681,0.23495702,0.153846154,0.841269841,0,0.081300813,0.384106453,0.560396823,0.370246059,0.237546427,0.564285786,0.434826743,0.384865843,0.653029594,0.666558819,0
