combination,r2,q2,mae,rmsd,threshold,model,predictions
"('hirshfeld_diff_11-12', 'bond_length_4-6')",0.60621894896484,0.502538133473561,0.41253330952837414,0.4982832618249643,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.02388289 -0.10349791  0.65516083  0.9250185   1.61890693  1.05100154
  1.89382098  1.81588158  1.21987978  1.12349858  1.13471653  0.45070901
  0.57591759  0.64614901  0.60435709 -0.13590042  0.15636732  0.26549063
  0.9602219   0.84321002  0.12676574  1.11295201  1.09347308  1.08590914
  1.25107647]"
"('hirshfeld_diff_11-12', 'bond_length_5-11')",0.30978186478465186,0.10941734991957108,0.5553712591124317,0.66670469930458,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.45142629 0.3097955  0.87248477 1.23693691 1.96226635 0.75287019
 0.84046076 0.93035936 0.33495806 0.87651342 0.86776032 0.55600139
 0.59576543 0.89049901 0.85416416 0.46052057 0.55485121 0.62786541
 0.78154475 0.28596241 0.50764054 0.95421193 0.92216069 1.29233563
 1.67561376]"
"('hirshfeld_diff_11-12', 'bond_length_12-13')",0.2638386704703741,-0.35548684226119565,0.6230084568540948,0.8225154308837369,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.45728279 0.31612457 0.88320893 1.20235017 1.78148013 0.56473953
 1.37282301 1.16902852 0.60742932 0.66807168 0.66971556 0.69574947
 0.80090103 0.92288655 0.83050359 0.45392234 0.56650855 0.6455801
 0.63051546 0.47258303 0.52221161 0.71002862 0.65603095 1.25240054
 1.54289278]"
"('hirshfeld_diff_11-12', 'bond_length_12-14')",0.25984651552199756,-683.4079987515493,4.222424465438504,18.482211658463456,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.45163186 0.30286732 0.90137229 1.23719793 1.7572319  0.56500797
 1.15851706 1.20261908 0.60968672 0.6738571  0.67555213 0.70323017
 0.81403509 0.94314729 0.84575932 0.44810186 0.56689763 0.65036642
 0.63421833 0.467443   0.52023529 0.71835093 0.66151464 1.28998424
 1.59614327]"
"('hirshfeld_diff_11-12', 'bond_length_11-12')",0.26327683301503757,0.12731576437678982,0.5621932515564815,0.6599711734531205,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.49478347 0.3824549  0.84997816 1.27489427 1.8783958  0.56607684
 1.0486287  1.09101439 0.62538003 0.64414063 0.64626566 0.69953962
 0.79213736 0.88274778 0.79664182 0.49368672 0.58208794 0.6447839
 0.63840387 0.51105892 0.54509583 0.71147315 0.639672   1.32980642
 1.62582065]"
"('hirshfeld_diff_11-12', 'aniso')",0.2732485146196064,0.1554496468147858,0.5325209758376799,0.6492458393276875,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.58953872 0.42607628 0.96230658 1.24136138 1.85660288 0.595352
 1.06757947 1.15191932 0.61010021 0.73139095 0.70125645 0.77876332
 0.75737917 0.97396859 0.85613902 0.22695772 0.52986953 0.46159704
 0.69694591 0.50508444 0.39362541 0.74440234 0.71968346 1.26401246
 1.55305622]"
"('hirshfeld_diff_11-12', 'iso')",0.5015478802827039,0.39411361297273806,0.4573328786908886,0.5499104828930577,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[-0.1753939  -0.21917651  0.45696678  1.46975463  1.60349402  0.78905333
  1.4821388   1.57365416  0.82145594  0.74335241  0.79145936 -0.02372401
  0.63353055  0.42515936  0.55824831  0.75037154  0.83753991  0.86001473
  0.84900317  1.15709633  0.64046968  0.65739925  0.82267179  1.25387105
  1.63655815]"
"('hirshfeld_diff_11-12', 'energy')",0.27935408845083,0.11677644417717536,0.5734020246959625,0.6639444162561695,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.41378861 0.42439858 0.88725275 1.23192474 1.84525761 0.6242429
 1.1689289  1.34347344 0.83426545 0.53603823 0.53952692 0.63607072
 0.74102435 0.86596485 0.75703184 0.61227744 0.53086704 0.70861114
 0.51578227 0.37871757 0.70636947 0.62183829 0.60937074 1.30857742
 1.55336757]"
"('hirshfeld_diff_11-12', 'cone_angle_deg')",0.3672375158603082,0.22828537415569972,0.5034933896190732,0.6206185707654273,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.24596479 0.04111433 0.88005728 0.91612522 1.86523268 0.91244514
 1.2567129  1.33047515 0.48562645 1.06447162 1.05794455 0.67302166
 0.80598567 0.9305749  0.86039248 0.25244412 0.40927928 0.53198733
 0.89455552 0.15337807 0.3510866  1.04042718 1.02862745 0.89725492
 1.50978354]"
"('hirshfeld_diff_11-12', '%Vbur_first')",0.41327290290050833,0.28888179841795447,0.5180202460213494,0.5957544549894493,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.56386726 0.50584014 0.71264821 2.0999148  1.82789947 0.64988433
 1.04057629 1.04667865 0.84414017 0.69164325 0.68997178 0.19523829
 0.29726701 0.70864696 0.62618142 0.56250757 0.60496246 0.63145068
 0.5997526  0.52929067 0.59123888 0.67537562 0.68077597 1.76050523
 1.25871112]"
"('hirshfeld_diff_11-12', '%Vbur_second')",0.594847899257809,0.45244652193285706,0.42413810328846985,0.5227688146353255,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.44333646  0.52563861  0.5660591   2.45559216  1.68581152  0.97180982
  0.87892831  0.8869523   0.83789064  0.88793423  0.88842169 -0.0567444
  0.15060845  0.38891824  0.35830609  0.58086375  0.51987993  0.49665886
  0.86542646  0.55558844  0.4617243   0.71905187  0.93034002  1.82514143
  1.57083054]"
"('hirshfeld_diff_11-12', 'Δ%Vbur(second-first)')",0.6905651976753437,0.600776536094267,0.3530118659131506,0.44637969434241603,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.27259794  0.44588866  0.51849572  2.34391643  1.54603147  1.24083658
  0.77634797  0.80498566  0.71190851  1.0685691   1.07286967 -0.03748508
  0.27438049  0.19713051  0.21049688  0.54324414  0.41988732  0.37676314
  1.14083628  0.55267471  0.30250439  0.78292827  1.16176971  1.63451355
  2.03287681]"
