combination,r2,q2,mae,rmsd,threshold,model,predictions
"('cross', 'B1')",0.21884000032275508,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.79736332 0.82011449 0.80130949 0.72026262 0.80256132 0.84013451
 0.81291997 0.82472608 0.78188416 0.804129   0.79980166 0.68755651
 0.69854121 0.45867032 0.75386529]"
"('cross', 'B5')",0.15660271187842745,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78419604 0.81358749 0.78562014 0.67431943 0.80930487 0.84108114
 0.80096236 0.81997802 0.76791541 0.7983311  0.78760554 0.63354295
 0.64848081 0.59412267 0.84479201]"
"('cross', 'L')",0.18039838696005595,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.8150309  0.83369071 0.81938057 0.63714207 0.799927   0.85011052
 0.78604732 0.83635986 0.80990544 0.77638906 0.78474975 0.67376638
 0.62099654 0.58312404 0.77721981]"
"('para', '-1-2-')",0.05321958661727921,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.72737283 0.7477297  0.74161684 0.77297495 0.81015321 0.85221925
 0.82488212 0.73316525 0.70248189 0.66644196 0.74739298 0.78198151
 0.77187656 0.77692659 0.74662433]"
"('para', '-2-3-')",0.07348992929001474,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.74412376 0.7641587  0.78017621 0.86858358 0.77530748 0.69726487
 0.7489172  0.76956097 0.74808856 0.72743513 0.77265835 0.65800923
 0.815678   0.84099472 0.6928832 ]"
"('para', '-2-9-')",0.029486618132967934,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.73353331 0.7487005  0.74391389 0.78232089 0.81420143 0.80963095
 0.76900364 0.73722823 0.71764022 0.69341948 0.74923247 0.77836852
 0.80902119 0.77451707 0.7431082 ]"
"('para', '-1-10-')",0.0696919270180858,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.77965111 0.78928345 0.78591695 0.83545625 0.7970655  0.70176772
 0.68537617 0.78077739 0.77381289 0.66457667 0.69294793 0.815074
 0.71199812 0.81247821 0.77765761]"
"('para', '-9-16-')",0.0477104776172923,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.75558419 0.7800685  0.77155439 0.80951134 0.79990342 0.80611559
 0.67757911 0.75899287 0.74132447 0.713544   0.69664863 0.84575413
 0.74525797 0.751408   0.75059335]"
"('para', '-17-18-')",0.05592231879957121,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.75291528 0.76937834 0.76411844 0.84867843 0.78269701 0.78714249
 0.759453   0.75554833 0.74348828 0.72492389 0.65485054 0.81392339
 0.68770089 0.80957472 0.74944695]"
"('para', '-18-19-')",0.12826759957169032,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.80338829 0.82361474 0.65759341 0.85156192 0.84284327 0.78355484
 0.63948653 0.69917778 0.73742733 0.67034456 0.83729001 0.76539402
 0.71008442 0.7397661  0.84231277]"
"('para', '-18-20-')",0.03367653377834634,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.71728003 0.78575638 0.78686391 0.78430091 0.78542242 0.78571559
 0.78705092 0.70690411 0.70737865 0.70701747 0.78562705 0.78539402
 0.78587033 0.78562222 0.70763598]"
"('para', 'Dist_1-2')",0.5170451154017417,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.67048214 0.81178858 0.70541312 0.8361451  0.92730227 0.97411399
 0.76380228 1.05439466 0.60918346 0.51984809 0.7060578  0.70848895
 0.61179138 0.67210667 0.83292148]"
"('para', 'Dist_2-3')",0.33845707650941526,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.63933488 0.79983796 0.67535381 0.92655447 0.87114958 0.95675598
 0.77849246 0.86182322 0.81909704 0.64333679 0.62496869 0.74335687
 0.54610384 0.72125309 0.79642129]"
