combination,accuracy,precision,recall,f1_score,mcfadden_r2,avg_mcfadden_r2,avg_accuracy,avg_f1_score,threshold
"('pyr_P_boltz',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.010441962712006148,,,,0.5
"('pyr_P_min',)",0.38461538461538464,0.3725490196078431,0.38461538461538464,0.3696969696969697,7.060362221200656e-06,,,,0.5
"('pyr_P_max',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.010253952972130165,,,,0.5
"('pyr_P_delta',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.012323143944576453,,,,0.5
"('pyr_P_vburminconf',)",0.5,0.5,0.5,0.49325337331334335,1.560797107980072e-05,,,,0.5
"('pyr_alpha_boltz',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.009918517795129866,,,,0.5
"('pyr_alpha_min',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.010182619432708151,,,,0.5
"('pyr_alpha_max',)",0.46153846153846156,0.46060606060606063,0.46153846153846156,0.45833333333333337,0.001289325167486588,,,,0.5
"('pyr_alpha_delta',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.024072141962884652,,,,0.5
"('pyr_alpha_vburminconf',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.00054554510031668,,,,0.5
"('vbur_vbur_boltz',)",0.7307692307692307,0.7437499999999999,0.7307692307692307,0.7271364317841079,0.20833366421571065,,,,0.5
"('vbur_vbur_min',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.02197158053691417,,,,0.5
"('vbur_vbur_max',)",0.7307692307692307,0.7437499999999999,0.7307692307692307,0.7271364317841079,0.15401645392371133,,,,0.5
"('vbur_vbur_delta',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.08523129023155518,,,,0.5
"('vbur_vbur_vburminconf',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.02197158053691417,,,,0.5
"('vbur_qvbur_min_boltz',)",0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.005206141997492919,,,,0.5
"('vbur_qvbur_min_min',)",0.5,0.5,0.5,0.4807987711213518,0.0004534693656186306,,,,0.5
"('vbur_qvbur_min_max',)",0.5769230769230769,0.5773809523809524,0.5769230769230769,0.5762962962962963,0.00043986598168077595,,,,0.5
"('vbur_qvbur_min_delta',)",0.5,0.5,0.5,0.49325337331334335,0.0009101302910233811,,,,0.5
"('vbur_qvbur_min_vburminconf',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.01634246991771593,,,,0.5
"('vbur_qvbur_max_boltz',)",0.7692307692307693,0.7973856209150327,0.7692307692307693,0.7636363636363637,0.31528930940448263,,,,0.5
"('vbur_qvbur_max_min',)",0.5384615384615384,0.5488721804511278,0.5384615384615384,0.5125,0.03515883961577693,,,,0.5
"('vbur_qvbur_max_max',)",0.7692307692307693,0.8421052631578948,0.7692307692307693,0.7562500000000001,0.29982521238011794,,,,0.5
"('vbur_qvbur_max_delta',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.08263431609552063,,,,0.5
"('vbur_qvbur_max_vburminconf',)",0.5384615384615384,0.5488721804511278,0.5384615384615384,0.5125,0.03151909267784059,,,,0.5
"('vbur_qvtot_min_boltz',)",0.5769230769230769,0.58125,0.5769230769230769,0.5712143928035982,0.02242726576731835,,,,0.5
"('vbur_qvtot_min_min',)",0.5,0.5,0.5,0.49325337331334335,0.0027437660220182014,,,,0.5
"('vbur_qvtot_min_max',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.001177668016238198,,,,0.5
"('vbur_qvtot_min_delta',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.007771243361723856,,,,0.5
"('vbur_qvtot_min_vburminconf',)",0.6153846153846154,0.6274509803921569,0.6153846153846154,0.606060606060606,0.0055471029732646615,,,,0.5
"('vbur_qvtot_max_boltz',)",0.7307692307692307,0.7321428571428571,0.7307692307692307,0.7303703703703703,0.09289345217550571,,,,0.5
"('vbur_qvtot_max_min',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.05268966730677627,,,,0.5
"('vbur_qvtot_max_max',)",0.8461538461538461,0.8545454545454546,0.8461538461538461,0.8452380952380951,0.14343503496167476,,,,0.5
"('vbur_qvtot_max_delta',)",0.7307692307692307,0.7321428571428571,0.7307692307692307,0.7303703703703703,0.18963213170015258,,,,0.5
"('vbur_qvtot_max_vburminconf',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.07688829742431325,,,,0.5
"('vbur_max_delta_qvbur_boltz',)",0.8076923076923077,0.8611111111111112,0.8076923076923077,0.8003072196620585,0.41622404270690183,,,,0.5
"('vbur_max_delta_qvbur_min',)",0.5769230769230769,0.6083333333333333,0.5769230769230769,0.5438596491228069,0.051108796238995,,,,0.5
"('vbur_max_delta_qvbur_max',)",0.7307692307692307,0.7708333333333333,0.7307692307692307,0.7204301075268817,0.3127768023764874,,,,0.5
"('vbur_max_delta_qvbur_delta',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.06539556231074728,,,,0.5
"('vbur_max_delta_qvbur_vburminconf',)",0.5384615384615384,0.5488721804511278,0.5384615384615384,0.5125,0.03841736134896501,,,,0.5
"('vbur_max_delta_qvtot_boltz',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.1068834386524139,,,,0.5
"('vbur_max_delta_qvtot_min',)",0.7307692307692307,0.7321428571428571,0.7307692307692307,0.7303703703703703,0.054189323416956814,,,,0.5
"('vbur_max_delta_qvtot_max',)",0.8076923076923077,0.8250000000000001,0.8076923076923077,0.8050974512743628,0.17182140626309395,,,,0.5
"('vbur_max_delta_qvtot_delta',)",0.7307692307692307,0.7437499999999999,0.7307692307692307,0.7271364317841079,0.15114449836861188,,,,0.5
"('vbur_max_delta_qvtot_vburminconf',)",0.7307692307692307,0.7321428571428571,0.7307692307692307,0.7303703703703703,0.08728463642254769,,,,0.5
"('vbur_ovbur_min_boltz',)",0.6153846153846154,0.6466165413533834,0.6153846153846154,0.59375,0.09083498608934515,,,,0.5
"('vbur_ovbur_min_max',)",0.5,0.5,0.5,0.4609250398724083,0.01229471212039246,,,,0.5
"('vbur_ovbur_min_delta',)",0.5,0.5,0.5,0.4609250398724083,0.01229471212039246,,,,0.5
"('vbur_ovbur_max_boltz',)",0.7692307692307693,0.8421052631578948,0.7692307692307693,0.7562500000000001,0.31026753615286884,,,,0.5
"('vbur_ovbur_max_min',)",0.46153846153846156,0.46060606060606063,0.46153846153846156,0.45833333333333337,0.01671575917524437,,,,0.5
