,B1_17-18,B5_17-18,L_17-18,loc_B5_17-18,B1_B5_angle_17-18,B1_28-16,B5_28-16,L_28-16,loc_B5_28-16,B1_B5_angle_28-16,B1_5-6,B5_5-6,L_5-6,loc_B5_5-6,B1_B5_angle_5-6,B1_12-5,B5_12-5,L_12-5,loc_B5_12-5,B1_B5_angle_12-5,B1_2-3,B5_2-3,L_2-3,loc_B5_2-3,B1_B5_angle_2-3,B1_14-13,B5_14-13,L_14-13,loc_B5_14-13,B1_B5_angle_14-13,PC1,PC2,PC3,output
MD-83_optimized,2.4692,4.3782,12.6664,1.9198,119.5506,2.2336,4.8877,14.4505,6.059,116.7968,2.3817,3.6007,8.6136,4.024,113.1173,2.1389,8.0606,6.5471,4.2627,97.0119,1.9988,5.6639,10.6306,-2.5004,122.9726,2.3284,9.4637,8.2926,5.8771,104.7997,54.79231431,33.22642465,9.975672754,-2.117277339
MD-87_optimized,1.7034,6.031,12.5824,10.2795,146.853,1.7032,5.4757,14.365,12.0655,160.0021,1.6991,5.6426,8.5191,6.3515,150.3733,1.6994,8.9536,6.2481,2.0876,107.5061,1.6992,6.4803,10.5447,8.3163,141.4141,1.7032,10.1413,8.064,3.7524,107.476,62.0066538,38.92706695,-5.721862309,-2.014390059
ME-10_optimized,1.7116,6.5541,13.3296,12.1708,175.9394,1.7108,6.6076,15.1109,13.9519,171.2225,1.6991,6.3983,9.2175,8.0775,179.8191,1.6994,9.8565,7.1461,5.3585,127.367,1.6991,6.6872,11.2253,10.0654,177.3944,1.7096,10.9133,9.0607,7.2736,123.8744,-4.492272531,0.899912935,-1.754296233,-2.143011734
ME-17_optimized,1.7097,7.4009,11.6869,10.5248,171.846,1.7086,7.3416,13.4706,12.3085,176.8025,1.6991,7.2501,7.6163,6.4808,169.3088,1.6994,9.1161,7.0909,5.2625,139.7131,1.7202,9.9313,7.7324,5.9101,134.8935,1.7077,10.5039,7.7888,5.9663,131.6158,-5.20182215,1.256124626,-2.834499838,-2.359082881
ME-18_optimized,1.7093,7.5254,10.3964,8.4777,146.9973,1.7084,6.9319,12.4505,10.5497,156.7944,1.6991,7.294,6.3242,4.5525,149.572,1.6994,8.7375,5.0855,0.6745,132.8591,1.6992,8.1083,8.3276,6.2923,127.813,1.7079,9.6215,7.1314,2.6683,129.3496,3.490165642,7.276335681,-20.86950654,-2.137029894
ME-1_optimized,1.7141,4.8981,13.6562,3.816,86.5788,1.7143,6.1343,15.4308,5.5708,87.955,1.6991,4.8557,9.3314,5.8909,148.1102,1.6994,8.4874,8.3758,6.5028,116.85,1.6998,5.6147,11.5143,-2.6037,91.6228,1.7123,9.7389,10.251,8.3699,113.4028,-8.606845292,3.455324662,-10.46748322,-2.0706365
ME-22_optimized,1.7123,4.9845,13.5837,2.0228,90.7207,1.7114,5.4867,15.3801,5.6244,90.8365,1.6991,4.4546,9.5298,6.1447,110.7922,1.6994,9.9823,5.3345,2.8157,93.3718,1.6992,6.1841,11.5525,0.0249,92.1685,1.7099,11.2188,7.2405,4.7002,94.4446,-5.939982137,0.785437915,-2.569807034,-1.765685496
ME-27_optimized,1.8595,7.3231,10.574,8.1964,124.1464,1.7765,6.3847,12.362,10.0061,133.3563,1.6991,6.9717,6.4623,4.4023,132.5021,1.8387,8.1566,5.083,-0.5905,116.8406,1.9278,8.1315,8.5021,6.2481,119.0417,1.9415,9.1469,7.2154,1.3093,123.8296,-4.260476681,1.262918897,15.91408526,-1.534690393
ME-2_optimized,1.7113,5.1827,12.6013,9.2351,107.9343,1.7105,6.4006,14.3591,10.9902,103.8207,1.6991,5.5802,8.1414,4.7588,107.0269,1.6994,6.0807,9.4243,6.7933,98.6859,1.6991,5.6261,10.3806,-2.5797,100.6153,1.7092,7.4478,11.3836,8.729,97.6674,-6.293355654,0.619281388,-2.570853645,-1.422151161
ME-5_optimized,1.7626,8.4222,9.906,8.6993,169.1242,1.7038,8.8082,11.9151,10.7131,160.4021,1.6991,8.3954,5.7511,4.5725,157.8554,1.7397,9.026,6.6834,4.7083,154.1648,1.6993,8.343,7.7625,6.5602,166.8236,1.792,9.6245,8.7038,6.7199,146.4557,-6.149434038,-0.230536925,16.61803044,-1.293899451
ME-7_optimized,1.7025,5.6438,12.7772,11.0853,166.5577,1.7641,6.116,14.5392,12.8376,157.443,1.6991,5.7001,8.5585,6.8378,160.8231,1.6995,7.7634,8.0492,6.1673,127.2292,1.881,6.8817,10.6174,-2.0587,83.0014,1.7554,9.0107,9.915,7.4688,105.5831,-5.783022794,-0.277012265,16.90334917,-1.098600453
ME-8_optimized,1.7428,5.8162,12.432,2.1728,92.9359,1.7997,6.7027,14.8532,11.4806,101.1626,1.6991,5.8111,7.9735,4.5896,110.9101,1.8149,6.8426,9.6366,-3.1314,89.5838,1.6992,7.0162,10.2443,0.1315,92.807,1.7437,7.1224,11.6821,9.0663,96.0251,-4.171740968,2.012475918,18.0387855,-1.049759674
PQS_optimized,1.7139,5.1107,12.9289,11.357,99.8274,1.713,6.3737,14.6981,13.1124,97.8471,1.6991,5.6844,8.5835,6.8497,104.8672,1.6994,6.5592,9.716,7.0424,94.6128,1.6992,5.6225,10.7643,-2.5848,92.424,1.7101,7.9496,11.6888,8.9582,94.2982,-7.408432959,-0.63629727,15.26417808,-0.837157667
