combination,r2,q2,mae,rmsd,threshold
"('PC1', 'PC2', 'PC7', 'PC12')",0.23630518272392242,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC7', 'PC13')",0.27150498669761414,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC7', 'PC14')",0.2414936552101008,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC7', 'PC15')",0.22236934493333527,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC7', 'PC16')",0.2223756715730557,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC7', 'PC17')",0.30769860909662294,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC7', 'PC18')",0.24578406624006877,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC7', 'PC19')",0.23727828246994653,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC7', 'PC20')",0.22610704006915416,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC9')",0.3256086554116143,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC10')",0.3914143540156909,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC11')",0.32393393365485945,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC12')",0.3365467861688708,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC13')",0.37174659015658773,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC14')",0.3417352586526342,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC15')",0.3226109483880212,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC16')",0.3226172750277111,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC17')",0.4079402125390691,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC18')",0.34602566968923665,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC19')",0.3375198859221358,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC8', 'PC20')",0.3263486435262728,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC10')",0.26676707037570413,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC11')",0.19928665001067192,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC12')",0.21189950254021694,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC13')",0.24709930650887013,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC14')",0.21708797502362365,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC15')",0.19796366474487304,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC16')",0.1979699913846017,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC17')",0.2832929289061966,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC18')",0.22137838605165372,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC19')",0.21287260228071803,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC9', 'PC20')",0.20170135988246363,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC11')",0.26509234861826203,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC12')",0.2777052011447948,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC13')",0.3129050051178026,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC14')",0.28289367363923057,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC15')",0.26376936335281087,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC16')",0.26377568999255097,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC17')",0.3490986275148341,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC18')",0.2871840846582482,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC19')",0.27867830089117696,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC10', 'PC20')",0.267507058489578,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC11', 'PC12')",0.21022478078266427,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC11', 'PC13')",0.24542458475213536,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC11', 'PC14')",0.215413253266175,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC11', 'PC15')",0.19628894298770538,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC11', 'PC16')",0.19629526962743238,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC11', 'PC17')",0.2816182071484786,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC11', 'PC18')",0.21970366429503863,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC11', 'PC19')",0.211197880523454,-inf,inf,inf,0.85
