Models list | formula                          |       R.sq |           Q.sq |         MAE |   Model_id |
| ('PC2', 'PC6', 'PC8', 'PC20')    | 0.32246    |    0.154794    |    0.694245 |         59 |
| ('PC1', 'PC2', 'PC8', 'PC18')    | 0.346026   |    0.154739    |    0.723029 |         60 |
| ('PC2', 'PC10', 'PC13', 'PC17')  | 0.363605   |    0.154397    |    0.670114 |         61 |
| ('PC2', 'PC7', 'PC8', 'PC13')    | 0.364521   |    0.154166    |    0.67643  |         62 |
| ('PC2', 'PC8', 'PC19', 'PC20')   | 0.306628   |    0.15375     |    0.671683 |         63 |
| ('PC2', 'PC3', 'PC8', 'PC10')    | 0.357004   |    0.153536    |    0.690129 |         64 |
| ('PC2', 'PC8', 'PC10', 'PC15')   | 0.356785   |    0.15347     |    0.687579 |         65 |
| ('PC2', 'PC4', 'PC16', 'PC17')   | 0.312586   |    0.152317    |    0.762964 |         66 |
| ('PC2', 'PC8', 'PC13', 'PC19')   | 0.352026   |    0.1522      |    0.657058 |         67 |
| ('PC2', 'PC4', 'PC10', 'PC11')   | 0.297376   |    0.151364    |    0.689839 |         68 |
| ('PC2', 'PC4', 'PC8', 'PC9')     | 0.357893   |    0.150151    |    0.690273 |         69 |
| ('PC2', 'PC4', 'PC10', 'PC19')   | 0.310962   |    0.14988     |    0.702133 |         70 |
| ('PC8', 'PC10', 'PC13', 'PC17')  | 0.330921   |    0.148019    |    0.620739 |         71 |
| ('PC2', 'PC8', 'PC13', 'PC18')   | 0.360532   |    0.147985    |    0.66879  |         72 |
| ('PC2', 'PC4', 'PC8', 'PC14')    | 0.374019   |    0.147746    |    0.686756 |         73 |
| ('PC2', 'PC7', 'PC8', 'PC19')    | 0.330294   |    0.147255    |    0.690317 |         74 |
| ('PC1', 'PC2', 'PC8', 'PC12')    | 0.336547   |    0.146947    |    0.689975 |         75 |
| ('PC2', 'PC4', 'PC10', 'PC15')   | 0.296053   |    0.145593    |    0.695382 |         76 |
| ('PC2', 'PC8', 'PC10', 'PC20')   | 0.360523   |    0.145105    |    0.707525 |         77 |
| ('PC2', 'PC6', 'PC10', 'PC17')   | 0.34521    |    0.144773    |    0.707627 |         78 |
