Models list | formula                          |       R.sq |           Q.sq |         MAE |   Model_id |
| ('PC5', 'PC8', 'PC9', 'PC11')    | 0.145098   | -inf           | -inf        |       3204 |
| ('PC5', 'PC7', 'PC19', 'PC20')   | 0.0591824  | -inf           | -inf        |       3202 |
| ('PC5', 'PC8', 'PC9', 'PC18')    | 0.16719    | -inf           | -inf        |       3211 |
| ('PC5', 'PC7', 'PC18', 'PC20')   | 0.0676881  | -inf           | -inf        |       3201 |
| ('PC5', 'PC7', 'PC18', 'PC19')   | 0.0788594  | -inf           | -inf        |       3200 |
| ('PC5', 'PC7', 'PC17', 'PC20')   | 0.129603   | -inf           | -inf        |       3199 |
| ('PC5', 'PC7', 'PC17', 'PC19')   | 0.140774   | -inf           | -inf        |       3198 |
| ('PC5', 'PC7', 'PC17', 'PC18')   | 0.14928    | -inf           | -inf        |       3197 |
| ('PC5', 'PC7', 'PC16', 'PC20')   | 0.0442798  | -inf           | -inf        |       3196 |
| ('PC5', 'PC8', 'PC9', 'PC17')    | 0.229104   | -inf           | -inf        |       3210 |
| ('PC5', 'PC8', 'PC9', 'PC19')    | 0.158684   | -inf           | -inf        |       3212 |
| ('PC5', 'PC8', 'PC11', 'PC17')   | 0.22743    | -inf           | -inf        |       3228 |
| ('PC5', 'PC8', 'PC10', 'PC19')   | 0.22449    | -inf           | -inf        |       3221 |
| ('PC5', 'PC8', 'PC11', 'PC16')   | 0.142107   | -inf           | -inf        |       3227 |
| ('PC5', 'PC8', 'PC11', 'PC15')   | 0.1421     | -inf           | -inf        |       3226 |
| ('PC5', 'PC8', 'PC11', 'PC14')   | 0.161225   | -inf           | -inf        |       3225 |
| ('PC5', 'PC8', 'PC11', 'PC13')   | 0.191236   | -inf           | -inf        |       3224 |
| ('PC5', 'PC8', 'PC11', 'PC12')   | 0.156036   | -inf           | -inf        |       3223 |
| ('PC5', 'PC8', 'PC10', 'PC20')   | 0.213318   | -inf           | -inf        |       3222 |
| ('PC5', 'PC8', 'PC10', 'PC18')   | 0.232995   | -inf           | -inf        |       3220 |
| ('PC5', 'PC8', 'PC9', 'PC20')    | 0.147513   | -inf           | -inf        |       3213 |
| ('PC5', 'PC8', 'PC10', 'PC16')   | 0.209587   | -inf           | -inf        |       3219 |
| ('PC5', 'PC8', 'PC10', 'PC15')   | 0.209581   | -inf           | -inf        |       3218 |
| ('PC5', 'PC8', 'PC10', 'PC14')   | 0.228705   | -inf           | -inf        |       3217 |
| ('PC5', 'PC8', 'PC10', 'PC13')   | 0.258716   | -inf           | -inf        |       3216 |
| ('PC5', 'PC8', 'PC10', 'PC12')   | 0.223517   | -inf           | -inf        |       3215 |
| ('PC5', 'PC8', 'PC10', 'PC11')   | 0.210904   | -inf           | -inf        |       3214 |
| ('PC5', 'PC12', 'PC13', 'PC18')  | 0.0996185  | -inf           | -inf        |       3408 |
| ('PC6', 'PC7', 'PC12', 'PC17')   | 0.157417   | -inf           | -inf        |       3534 |
| ('PC5', 'PC12', 'PC13', 'PC20')  | 0.0799415  | -inf           | -inf        |       3410 |
| ('PC6', 'PC8', 'PC12', 'PC16')   | 0.172336   | -inf           | -inf        |       3598 |
| ('PC6', 'PC8', 'PC13', 'PC15')   | 0.207529   | -inf           | -inf        |       3604 |
| ('PC6', 'PC8', 'PC13', 'PC14')   | 0.226653   | -inf           | -inf        |       3603 |
| ('PC6', 'PC8', 'PC12', 'PC20')   | 0.176067   | -inf           | -inf        |       3602 |
| ('PC6', 'PC8', 'PC12', 'PC19')   | 0.187238   | -inf           | -inf        |       3601 |
| ('PC6', 'PC8', 'PC12', 'PC18')   | 0.195744   | -inf           | -inf        |       3600 |
| ('PC6', 'PC8', 'PC12', 'PC17')   | 0.257659   | -inf           | -inf        |       3599 |
| ('PC6', 'PC8', 'PC12', 'PC15')   | 0.172329   | -inf           | -inf        |       3597 |
| ('PC6', 'PC8', 'PC13', 'PC18')   | 0.230944   | -inf           | -inf        |       3606 |
| ('PC6', 'PC8', 'PC12', 'PC14')   | 0.191454   | -inf           | -inf        |       3596 |
| ('PC6', 'PC8', 'PC12', 'PC13')   | 0.221465   | -inf           | -inf        |       3595 |
| ('PC6', 'PC8', 'PC11', 'PC20')   | 0.163454   | -inf           | -inf        |       3594 |
| ('PC6', 'PC8', 'PC11', 'PC19')   | 0.174625   | -inf           | -inf        |       3593 |
| ('PC6', 'PC8', 'PC11', 'PC18')   | 0.183131   | -inf           | -inf        |       3592 |
| ('PC6', 'PC8', 'PC11', 'PC17')   | 0.245046   | -inf           | -inf        |       3591 |
| ('PC6', 'PC8', 'PC13', 'PC16')   | 0.207535   | -inf           | -inf        |       3605 |
| ('PC6', 'PC8', 'PC13', 'PC19')   | 0.222438   | -inf           | -inf        |       3607 |
| ('PC6', 'PC8', 'PC11', 'PC15')   | 0.159716   | -inf           | -inf        |       3589 |
| ('PC6', 'PC8', 'PC15', 'PC17')   | 0.243723   | -inf           | -inf        |       3616 |
| ('PC6', 'PC8', 'PC16', 'PC19')   | 0.173309   | -inf           | -inf        |       3622 |
| ('PC6', 'PC8', 'PC16', 'PC18')   | 0.181815   | -inf           | -inf        |       3621 |
| ('PC6', 'PC8', 'PC16', 'PC17')   | 0.243729   | -inf           | -inf        |       3620 |
| ('PC6', 'PC8', 'PC15', 'PC20')   | 0.162131   | -inf           | -inf        |       3619 |
| ('PC6', 'PC8', 'PC15', 'PC19')   | 0.173302   | -inf           | -inf        |       3618 |
| ('PC6', 'PC8', 'PC15', 'PC18')   | 0.181808   | -inf           | -inf        |       3617 |
| ('PC6', 'PC8', 'PC15', 'PC16')   | 0.1584     | -inf           | -inf        |       3615 |
| ('PC6', 'PC8', 'PC13', 'PC20')   | 0.211267   | -inf           | -inf        |       3608 |
| ('PC6', 'PC8', 'PC14', 'PC20')   | 0.181255   | -inf           | -inf        |       3614 |
| ('PC6', 'PC8', 'PC14', 'PC19')   | 0.192427   | -inf           | -inf        |       3613 |
| ('PC6', 'PC8', 'PC14', 'PC18')   | 0.200933   | -inf           | -inf        |       3612 |
| ('PC6', 'PC8', 'PC14', 'PC17')   | 0.262847   | -inf           | -inf        |       3611 |
| ('PC6', 'PC8', 'PC14', 'PC16')   | 0.177524   | -inf           | -inf        |       3610 |
| ('PC6', 'PC8', 'PC14', 'PC15')   | 0.177518   | -inf           | -inf        |       3609 |
| ('PC6', 'PC8', 'PC11', 'PC16')   | 0.159723   | -inf           | -inf        |       3590 |
| ('PC6', 'PC8', 'PC11', 'PC14')   | 0.178841   | -inf           | -inf        |       3588 |
| ('PC6', 'PC8', 'PC17', 'PC18')   | 0.267137   | -inf           | -inf        |       3624 |
| ('PC6', 'PC7', 'PC17', 'PC20')   | 0.147219   | -inf           | -inf        |       3562 |
| ('PC6', 'PC8', 'PC9', 'PC12')    | 0.175327   | -inf           | -inf        |       3568 |
| ('PC6', 'PC8', 'PC9', 'PC11')    | 0.162714   | -inf           | -inf        |       3567 |
| ('PC6', 'PC8', 'PC9', 'PC10')    | 0.230195   | -inf           | -inf        |       3566 |
| ('PC6', 'PC7', 'PC19', 'PC20')   | 0.0767985  | -inf           | -inf        |       3565 |
| ('PC6', 'PC7', 'PC18', 'PC20')   | 0.0853043  | -inf           | -inf        |       3564 |
| ('PC6', 'PC7', 'PC18', 'PC19')   | 0.0964755  | -inf           | -inf        |       3563 |
| ('PC6', 'PC7', 'PC17', 'PC19')   | 0.15839    | -inf           | -inf        |       3561 |
| ('PC6', 'PC8', 'PC9', 'PC14')    | 0.180515   | -inf           | -inf        |       3570 |
| ('PC6', 'PC7', 'PC17', 'PC18')   | 0.166896   | -inf           | -inf        |       3560 |
| ('PC6', 'PC7', 'PC16', 'PC20')   | 0.0618959  | -inf           | -inf        |       3559 |
| ('PC6', 'PC7', 'PC16', 'PC19')   | 0.0730671  | -inf           | -inf        |       3558 |
| ('PC6', 'PC7', 'PC16', 'PC18')   | 0.0815729  | -inf           | -inf        |       3557 |
| ('PC6', 'PC7', 'PC16', 'PC17')   | 0.143487   | -inf           | -inf        |       3556 |
| ('PC6', 'PC7', 'PC15', 'PC20')   | 0.0618896  | -inf           | -inf        |       3555 |
| ('PC6', 'PC8', 'PC9', 'PC13')    | 0.210527   | -inf           | -inf        |       3569 |
| ('PC6', 'PC8', 'PC9', 'PC15')    | 0.161391   | -inf           | -inf        |       3571 |
| ('PC6', 'PC8', 'PC11', 'PC13')   | 0.208852   | -inf           | -inf        |       3587 |
| ('PC6', 'PC8', 'PC10', 'PC14')   | 0.246321   | -inf           | -inf        |       3580 |
| ('PC6', 'PC8', 'PC11', 'PC12')   | 0.173652   | -inf           | -inf        |       3586 |
| ('PC6', 'PC8', 'PC10', 'PC20')   | 0.230935   | -inf           | -inf        |       3585 |
| ('PC6', 'PC8', 'PC10', 'PC19')   | 0.242106   | -inf           | -inf        |       3584 |
| ('PC6', 'PC8', 'PC10', 'PC18')   | 0.250612   | -inf           | -inf        |       3583 |
| ('PC6', 'PC8', 'PC10', 'PC16')   | 0.227203   | -inf           | -inf        |       3582 |
| ('PC6', 'PC8', 'PC10', 'PC15')   | 0.227197   | -inf           | -inf        |       3581 |
| ('PC6', 'PC8', 'PC10', 'PC13')   | 0.276333   | -inf           | -inf        |       3579 |
| ('PC6', 'PC8', 'PC9', 'PC16')    | 0.161398   | -inf           | -inf        |       3572 |
| ('PC6', 'PC8', 'PC10', 'PC12')   | 0.241133   | -inf           | -inf        |       3578 |
| ('PC6', 'PC8', 'PC10', 'PC11')   | 0.22852    | -inf           | -inf        |       3577 |
| ('PC6', 'PC8', 'PC9', 'PC20')    | 0.165129   | -inf           | -inf        |       3576 |
| ('PC6', 'PC8', 'PC9', 'PC19')    | 0.1763     | -inf           | -inf        |       3575 |
| ('PC6', 'PC8', 'PC9', 'PC18')    | 0.184806   | -inf           | -inf        |       3574 |
| ('PC6', 'PC8', 'PC9', 'PC17')    | 0.24672    | -inf           | -inf        |       3573 |
| ('PC6', 'PC8', 'PC16', 'PC20')   | 0.162137   | -inf           | -inf        |       3623 |
| ('PC6', 'PC8', 'PC17', 'PC19')   | 0.258632   | -inf           | -inf        |       3625 |
| ('PC5', 'PC12', 'PC14', 'PC15')  | 0.0461925  | -inf           | -inf        |       3411 |
| ('PC6', 'PC9', 'PC15', 'PC16')   | 0.0337525  | -inf           | -inf        |       3670 |
| ('PC6', 'PC9', 'PC16', 'PC18')   | 0.0571672  | -inf           | -inf        |       3676 |
| ('PC6', 'PC9', 'PC16', 'PC17')   | 0.119082   | -inf           | -inf        |       3675 |
| ('PC6', 'PC9', 'PC15', 'PC20')   | 0.0374839  | -inf           | -inf        |       3674 |
| ('PC6', 'PC9', 'PC15', 'PC19')   | 0.0486551  | -inf           | -inf        |       3673 |
| ('PC6', 'PC9', 'PC15', 'PC18')   | 0.0571609  | -inf           | -inf        |       3672 |
| ('PC6', 'PC9', 'PC15', 'PC17')   | 0.119075   | -inf           | -inf        |       3671 |
| ('PC6', 'PC9', 'PC14', 'PC20')   | 0.0566082  | -inf           | -inf        |       3669 |
| ('PC6', 'PC9', 'PC16', 'PC20')   | 0.0374902  | -inf           | -inf        |       3678 |
| ('PC6', 'PC9', 'PC14', 'PC19')   | 0.0677794  | -inf           | -inf        |       3668 |
| ('PC6', 'PC9', 'PC14', 'PC18')   | 0.0762852  | -inf           | -inf        |       3667 |
| ('PC6', 'PC9', 'PC14', 'PC17')   | 0.1382     | -inf           | -inf        |       3666 |
| ('PC6', 'PC9', 'PC14', 'PC16')   | 0.0528768  | -inf           | -inf        |       3665 |
| ('PC6', 'PC9', 'PC14', 'PC15')   | 0.0528705  | -inf           | -inf        |       3664 |
| ('PC6', 'PC9', 'PC13', 'PC20')   | 0.0866195  | -inf           | -inf        |       3663 |
| ('PC6', 'PC9', 'PC16', 'PC19')   | 0.0486615  | -inf           | -inf        |       3677 |
| ('PC6', 'PC9', 'PC17', 'PC18')   | 0.14249    | -inf           | -inf        |       3679 |
| ('PC6', 'PC9', 'PC13', 'PC18')   | 0.106297   | -inf           | -inf        |       3661 |
| ('PC6', 'PC10', 'PC11', 'PC15')  | 0.100875   | -inf           | -inf        |       3688 |
| ('PC6', 'PC10', 'PC12', 'PC13')  | 0.162623   | -inf           | -inf        |       3694 |
| ('PC6', 'PC10', 'PC11', 'PC20')  | 0.104613   | -inf           | -inf        |       3693 |
| ('PC6', 'PC10', 'PC11', 'PC19')  | 0.115784   | -inf           | -inf        |       3692 |
| ('PC6', 'PC10', 'PC11', 'PC18')  | 0.12429    | -inf           | -inf        |       3691 |
| ('PC6', 'PC10', 'PC11', 'PC17')  | 0.186204   | -inf           | -inf        |       3690 |
| ('PC6', 'PC10', 'PC11', 'PC16')  | 0.100881   | -inf           | -inf        |       3689 |
| ('PC6', 'PC10', 'PC11', 'PC14')  | 0.119999   | -inf           | -inf        |       3687 |
| ('PC6', 'PC9', 'PC17', 'PC19')   | 0.133984   | -inf           | -inf        |       3680 |
| ('PC6', 'PC10', 'PC11', 'PC13')  | 0.150011   | -inf           | -inf        |       3686 |
| ('PC6', 'PC10', 'PC11', 'PC12')  | 0.114811   | -inf           | -inf        |       3685 |
| ('PC6', 'PC9', 'PC19', 'PC20')   | 0.0523928  | -inf           | -inf        |       3684 |
| ('PC6', 'PC9', 'PC18', 'PC20')   | 0.0608986  | -inf           | -inf        |       3683 |
| ('PC6', 'PC9', 'PC18', 'PC19')   | 0.0720698  | -inf           | -inf        |       3682 |
| ('PC6', 'PC9', 'PC17', 'PC20')   | 0.122813   | -inf           | -inf        |       3681 |
| ('PC6', 'PC9', 'PC13', 'PC19')   | 0.0977908  | -inf           | -inf        |       3662 |
| ('PC6', 'PC9', 'PC13', 'PC17')   | 0.168211   | -inf           | -inf        |       3660 |
| ('PC6', 'PC8', 'PC17', 'PC20')   | 0.24746    | -inf           | -inf        |       3626 |
| ('PC6', 'PC9', 'PC10', 'PC15')   | 0.10255    | -inf           | -inf        |       3634 |
| ('PC6', 'PC9', 'PC11', 'PC12')   | 0.049005   | -inf           | -inf        |       3640 |
| ('PC6', 'PC9', 'PC10', 'PC20')   | 0.106287   | -inf           | -inf        |       3639 |
| ('PC6', 'PC9', 'PC10', 'PC19')   | 0.117459   | -inf           | -inf        |       3638 |
| ('PC6', 'PC9', 'PC10', 'PC18')   | 0.125964   | -inf           | -inf        |       3637 |
| ('PC6', 'PC9', 'PC10', 'PC17')   | 0.187879   | -inf           | -inf        |       3636 |
| ('PC6', 'PC9', 'PC10', 'PC16')   | 0.102556   | -inf           | -inf        |       3635 |
| ('PC6', 'PC9', 'PC10', 'PC14')   | 0.121674   | -inf           | -inf        |       3633 |
| ('PC6', 'PC9', 'PC11', 'PC14')   | 0.0541935  | -inf           | -inf        |       3642 |
| ('PC6', 'PC9', 'PC10', 'PC13')   | 0.151685   | -inf           | -inf        |       3632 |
| ('PC6', 'PC9', 'PC10', 'PC12')   | 0.116485   | -inf           | -inf        |       3631 |
| ('PC6', 'PC9', 'PC10', 'PC11')   | 0.103873   | -inf           | -inf        |       3630 |
| ('PC6', 'PC8', 'PC19', 'PC20')   | 0.17704    | -inf           | -inf        |       3629 |
| ('PC6', 'PC8', 'PC18', 'PC20')   | 0.185546   | -inf           | -inf        |       3628 |
| ('PC6', 'PC8', 'PC18', 'PC19')   | 0.196717   | -inf           | -inf        |       3627 |
| ('PC6', 'PC9', 'PC11', 'PC13')   | 0.0842048  | -inf           | -inf        |       3641 |
| ('PC6', 'PC9', 'PC11', 'PC15')   | 0.0350692  | -inf           | -inf        |       3643 |
| ('PC6', 'PC9', 'PC13', 'PC16')   | 0.0828882  | -inf           | -inf        |       3659 |
| ('PC6', 'PC9', 'PC12', 'PC16')   | 0.0476884  | -inf           | -inf        |       3652 |
| ('PC6', 'PC9', 'PC13', 'PC15')   | 0.0828818  | -inf           | -inf        |       3658 |
| ('PC6', 'PC9', 'PC13', 'PC14')   | 0.102006   | -inf           | -inf        |       3657 |
| ('PC6', 'PC9', 'PC12', 'PC20')   | 0.0514197  | -inf           | -inf        |       3656 |
| ('PC6', 'PC9', 'PC12', 'PC19')   | 0.062591   | -inf           | -inf        |       3655 |
| ('PC6', 'PC9', 'PC12', 'PC18')   | 0.0710967  | -inf           | -inf        |       3654 |
| ('PC6', 'PC9', 'PC12', 'PC17')   | 0.133011   | -inf           | -inf        |       3653 |
| ('PC6', 'PC9', 'PC12', 'PC15')   | 0.047682   | -inf           | -inf        |       3651 |
| ('PC6', 'PC9', 'PC11', 'PC16')   | 0.0350755  | -inf           | -inf        |       3644 |
| ('PC6', 'PC9', 'PC12', 'PC14')   | 0.0668063  | -inf           | -inf        |       3650 |
| ('PC6', 'PC9', 'PC12', 'PC13')   | 0.0968177  | -inf           | -inf        |       3649 |
| ('PC6', 'PC9', 'PC11', 'PC20')   | 0.0388069  | -inf           | -inf        |       3648 |
| ('PC6', 'PC9', 'PC11', 'PC19')   | 0.0499781  | -inf           | -inf        |       3647 |
| ('PC6', 'PC9', 'PC11', 'PC18')   | 0.0584839  | -inf           | -inf        |       3646 |
| ('PC6', 'PC9', 'PC11', 'PC17')   | 0.120398   | -inf           | -inf        |       3645 |
| ('PC6', 'PC7', 'PC15', 'PC19')   | 0.0730608  | -inf           | -inf        |       3554 |
| ('PC6', 'PC7', 'PC15', 'PC18')   | 0.0815666  | -inf           | -inf        |       3553 |
| ('PC6', 'PC7', 'PC15', 'PC17')   | 0.143481   | -inf           | -inf        |       3552 |
| ('PC5', 'PC14', 'PC15', 'PC18')  | 0.0556714  | -inf           | -inf        |       3455 |
| ('PC5', 'PC14', 'PC16', 'PC20')  | 0.0360007  | -inf           | -inf        |       3461 |
| ('PC5', 'PC14', 'PC16', 'PC19')  | 0.0471719  | -inf           | -inf        |       3460 |
| ('PC5', 'PC14', 'PC16', 'PC18')  | 0.0556777  | -inf           | -inf        |       3459 |
| ('PC5', 'PC14', 'PC16', 'PC17')  | 0.117592   | -inf           | -inf        |       3458 |
| ('PC5', 'PC14', 'PC15', 'PC20')  | 0.0359944  | -inf           | -inf        |       3457 |
| ('PC5', 'PC14', 'PC15', 'PC19')  | 0.0471656  | -inf           | -inf        |       3456 |
| ('PC5', 'PC14', 'PC15', 'PC17')  | 0.117586   | -inf           | -inf        |       3454 |
| ('PC5', 'PC14', 'PC17', 'PC19')  | 0.132495   | -inf           | -inf        |       3463 |
| ('PC5', 'PC14', 'PC15', 'PC16')  | 0.032263   | -inf           | -inf        |       3453 |
| ('PC5', 'PC13', 'PC19', 'PC20')  | 0.0809146  | -inf           | -inf        |       3452 |
| ('PC5', 'PC13', 'PC18', 'PC20')  | 0.0894204  | -inf           | -inf        |       3451 |
| ('PC5', 'PC13', 'PC18', 'PC19')  | 0.100592   | -inf           | -inf        |       3450 |
| ('PC5', 'PC13', 'PC17', 'PC20')  | 0.151335   | -inf           | -inf        |       3449 |
| ('PC5', 'PC13', 'PC17', 'PC19')  | 0.162506   | -inf           | -inf        |       3448 |
| ('PC5', 'PC14', 'PC17', 'PC18')  | 0.141001   | -inf           | -inf        |       3462 |
| ('PC5', 'PC14', 'PC17', 'PC20')  | 0.121324   | -inf           | -inf        |       3464 |
| ('PC5', 'PC13', 'PC16', 'PC20')  | 0.066012   | -inf           | -inf        |       3446 |
| ('PC5', 'PC15', 'PC17', 'PC19')  | 0.113371   | -inf           | -inf        |       3473 |
| ('PC5', 'PC16', 'PC17', 'PC19')  | 0.113377   | -inf           | -inf        |       3479 |
| ('PC5', 'PC16', 'PC17', 'PC18')  | 0.121883   | -inf           | -inf        |       3478 |
| ('PC5', 'PC15', 'PC19', 'PC20')  | 0.031779   | -inf           | -inf        |       3477 |
| ('PC5', 'PC15', 'PC18', 'PC20')  | 0.0402848  | -inf           | -inf        |       3476 |
| ('PC5', 'PC15', 'PC18', 'PC19')  | 0.051456   | -inf           | -inf        |       3475 |
| ('PC5', 'PC15', 'PC17', 'PC20')  | 0.102199   | -inf           | -inf        |       3474 |
| ('PC5', 'PC15', 'PC17', 'PC18')  | 0.121876   | -inf           | -inf        |       3472 |
| ('PC5', 'PC14', 'PC18', 'PC19')  | 0.0705803  | -inf           | -inf        |       3465 |
| ('PC5', 'PC15', 'PC16', 'PC20')  | 0.0168764  | -inf           | -inf        |       3471 |
| ('PC5', 'PC15', 'PC16', 'PC19')  | 0.0280476  | -inf           | -inf        |       3470 |
| ('PC5', 'PC15', 'PC16', 'PC18')  | 0.0365534  | -inf           | -inf        |       3469 |
| ('PC5', 'PC15', 'PC16', 'PC17')  | 0.0984679  | -inf           | -inf        |       3468 |
| ('PC5', 'PC14', 'PC19', 'PC20')  | 0.0509033  | -inf           | -inf        |       3467 |
| ('PC5', 'PC14', 'PC18', 'PC20')  | 0.0594091  | -inf           | -inf        |       3466 |
| ('PC5', 'PC13', 'PC17', 'PC18')  | 0.171012   | -inf           | -inf        |       3447 |
| ('PC5', 'PC13', 'PC16', 'PC19')  | 0.0771833  | -inf           | -inf        |       3445 |
| ('PC6', 'PC7', 'PC15', 'PC16')   | 0.0581582  | -inf           | -inf        |       3551 |
| ('PC5', 'PC12', 'PC15', 'PC18')  | 0.0504829  | -inf           | -inf        |       3419 |
| ('PC5', 'PC12', 'PC16', 'PC20')  | 0.0308122  | -inf           | -inf        |       3425 |
| ('PC5', 'PC12', 'PC16', 'PC19')  | 0.0419834  | -inf           | -inf        |       3424 |
| ('PC5', 'PC12', 'PC16', 'PC18')  | 0.0504892  | -inf           | -inf        |       3423 |
| ('PC5', 'PC12', 'PC16', 'PC17')  | 0.112404   | -inf           | -inf        |       3422 |
| ('PC5', 'PC12', 'PC15', 'PC20')  | 0.0308059  | -inf           | -inf        |       3421 |
| ('PC5', 'PC12', 'PC15', 'PC19')  | 0.0419771  | -inf           | -inf        |       3420 |
| ('PC5', 'PC12', 'PC15', 'PC17')  | 0.112397   | -inf           | -inf        |       3418 |
| ('PC5', 'PC12', 'PC17', 'PC19')  | 0.127306   | -inf           | -inf        |       3427 |
| ('PC5', 'PC12', 'PC15', 'PC16')  | 0.0270745  | -inf           | -inf        |       3417 |
| ('PC5', 'PC12', 'PC14', 'PC20')  | 0.0499302  | -inf           | -inf        |       3416 |
| ('PC5', 'PC12', 'PC14', 'PC19')  | 0.0611014  | -inf           | -inf        |       3415 |
| ('PC5', 'PC12', 'PC14', 'PC18')  | 0.0696072  | -inf           | -inf        |       3414 |
| ('PC5', 'PC12', 'PC14', 'PC17')  | 0.131522   | -inf           | -inf        |       3413 |
| ('PC5', 'PC12', 'PC14', 'PC16')  | 0.0461988  | -inf           | -inf        |       3412 |
| ('PC5', 'PC12', 'PC17', 'PC18')  | 0.135812   | -inf           | -inf        |       3426 |
| ('PC5', 'PC12', 'PC17', 'PC20')  | 0.116135   | -inf           | -inf        |       3428 |
| ('PC5', 'PC13', 'PC16', 'PC18')  | 0.085689   | -inf           | -inf        |       3444 |
| ('PC5', 'PC13', 'PC14', 'PC20')  | 0.08513    | -inf           | -inf        |       3437 |
| ('PC5', 'PC13', 'PC16', 'PC17')  | 0.147604   | -inf           | -inf        |       3443 |
| ('PC5', 'PC13', 'PC15', 'PC20')  | 0.0660057  | -inf           | -inf        |       3442 |
| ('PC5', 'PC13', 'PC15', 'PC19')  | 0.0771769  | -inf           | -inf        |       3441 |
| ('PC5', 'PC13', 'PC15', 'PC18')  | 0.0856827  | -inf           | -inf        |       3440 |
| ('PC5', 'PC13', 'PC15', 'PC17')  | 0.147597   | -inf           | -inf        |       3439 |
| ('PC5', 'PC13', 'PC15', 'PC16')  | 0.0622743  | -inf           | -inf        |       3438 |
| ('PC5', 'PC13', 'PC14', 'PC19')  | 0.0963012  | -inf           | -inf        |       3436 |
| ('PC5', 'PC12', 'PC18', 'PC19')  | 0.0653918  | -inf           | -inf        |       3429 |
| ('PC5', 'PC13', 'PC14', 'PC18')  | 0.104807   | -inf           | -inf        |       3435 |
| ('PC5', 'PC13', 'PC14', 'PC17')  | 0.166722   | -inf           | -inf        |       3434 |
| ('PC5', 'PC13', 'PC14', 'PC16')  | 0.0813986  | -inf           | -inf        |       3433 |
| ('PC5', 'PC13', 'PC14', 'PC15')  | 0.0813923  | -inf           | -inf        |       3432 |
| ('PC5', 'PC12', 'PC19', 'PC20')  | 0.0457148  | -inf           | -inf        |       3431 |
| ('PC5', 'PC12', 'PC18', 'PC20')  | 0.0542206  | -inf           | -inf        |       3430 |
| ('PC5', 'PC16', 'PC17', 'PC20')  | 0.102206   | -inf           | -inf        |       3480 |
| ('PC5', 'PC16', 'PC18', 'PC19')  | 0.0514623  | -inf           | -inf        |       3481 |
| ('PC5', 'PC16', 'PC18', 'PC20')  | 0.0402911  | -inf           | -inf        |       3482 |
| ('PC6', 'PC7', 'PC11', 'PC17')   | 0.144804   | -inf           | -inf        |       3526 |
| ('PC6', 'PC7', 'PC12', 'PC15')   | 0.0720877  | -inf           | -inf        |       3532 |
| ('PC6', 'PC7', 'PC12', 'PC14')   | 0.091212   | -inf           | -inf        |       3531 |
| ('PC6', 'PC7', 'PC12', 'PC13')   | 0.121223   | -inf           | -inf        |       3530 |
| ('PC6', 'PC7', 'PC11', 'PC20')   | 0.0632125  | -inf           | -inf        |       3529 |
| ('PC6', 'PC7', 'PC11', 'PC19')   | 0.0743838  | -inf           | -inf        |       3528 |
| ('PC6', 'PC7', 'PC11', 'PC18')   | 0.0828896  | -inf           | -inf        |       3527 |
| ('PC6', 'PC7', 'PC11', 'PC16')   | 0.0594812  | -inf           | -inf        |       3525 |
| ('PC5', 'PC6', 'PC18', 'PC19')   | 0.0821966  | -inf           | -inf        |       3122 |
| ('PC6', 'PC7', 'PC11', 'PC15')   | 0.0594749  | -inf           | -inf        |       3524 |
| ('PC6', 'PC7', 'PC11', 'PC14')   | 0.0785992  | -inf           | -inf        |       3523 |
| ('PC6', 'PC7', 'PC11', 'PC13')   | 0.10861    | -inf           | -inf        |       3522 |
| ('PC6', 'PC7', 'PC11', 'PC12')   | 0.0734107  | -inf           | -inf        |       3521 |
| ('PC6', 'PC7', 'PC10', 'PC20')   | 0.130693   | -inf           | -inf        |       3520 |
| ('PC6', 'PC7', 'PC10', 'PC19')   | 0.141864   | -inf           | -inf        |       3519 |
| ('PC6', 'PC7', 'PC12', 'PC16')   | 0.072094   | -inf           | -inf        |       3533 |
| ('PC6', 'PC7', 'PC12', 'PC18')   | 0.0955024  | -inf           | -inf        |       3535 |
| ('PC5', 'PC16', 'PC19', 'PC20')  | 0.0317853  | -inf           | -inf        |       3483 |
| ('PC6', 'PC7', 'PC13', 'PC20')   | 0.111025   | -inf           | -inf        |       3544 |
| ('PC6', 'PC7', 'PC14', 'PC20')   | 0.0810139  | -inf           | -inf        |       3550 |
| ('PC6', 'PC7', 'PC14', 'PC19')   | 0.0921851  | -inf           | -inf        |       3549 |
| ('PC6', 'PC7', 'PC14', 'PC18')   | 0.100691   | -inf           | -inf        |       3548 |
| ('PC6', 'PC7', 'PC14', 'PC17')   | 0.162605   | -inf           | -inf        |       3547 |
| ('PC6', 'PC7', 'PC14', 'PC16')   | 0.0772825  | -inf           | -inf        |       3546 |
| ('PC6', 'PC7', 'PC14', 'PC15')   | 0.0772762  | -inf           | -inf        |       3545 |
| ('PC6', 'PC7', 'PC13', 'PC19')   | 0.122196   | -inf           | -inf        |       3543 |
| ('PC6', 'PC7', 'PC12', 'PC19')   | 0.0869966  | -inf           | -inf        |       3536 |
| ('PC6', 'PC7', 'PC13', 'PC18')   | 0.130702   | -inf           | -inf        |       3542 |
| ('PC6', 'PC7', 'PC13', 'PC17')   | 0.192617   | -inf           | -inf        |       3541 |
| ('PC6', 'PC7', 'PC13', 'PC16')   | 0.107294   | -inf           | -inf        |       3540 |
| ('PC6', 'PC7', 'PC13', 'PC15')   | 0.107288   | -inf           | -inf        |       3539 |
