filename,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,output
MD-83.xyz,54.79231431,33.22642465,9.975672754,5.383691203,2.834369258,-0.511418676,-0.336765323,-1.501070019,-31.95802805,-0.926129121,-1.810396253,0.686228433,0.472569875,-0.338790954,-0.630895823,-0.008208016,-0.1937873,-0.07610645,-0.422079946,0.183696163,-2.117277339
MD-87.xyz,62.0066538,38.92706695,-5.721862309,2.139532183,5.303263152,0.432572212,2.294681305,-1.532264219,28.44723178,0.727668462,1.376771428,0.018276742,-0.040599131,0.467733195,-0.062962687,-0.461505121,0.151156624,-0.124052264,0.337043243,0.065864209,-2.014390059
ME-1.xyz,-4.492272531,0.899912935,-1.754296233,-3.703675244,3.317272824,1.396178357,17.23630202,24.04440436,-1.083780656,8.490104416,-0.83543755,11.86828582,-10.19213891,-2.324705314,0.329035314,-0.570725147,-0.529374517,-0.716628052,0.606748229,-13.62839698,-2.143011734
ME-10.xyz,-5.20182215,1.256124626,-2.834499838,-4.025006636,4.281240572,-3.630421054,10.34661731,12.45820516,0.528963169,-10.31081379,-8.879089516,-16.91609612,12.85546648,-19.24362228,6.058679494,2.554406125,2.600809058,1.788833101,0.400799185,-0.569158733,-2.359082881
ME-17.xyz,3.490165642,7.276335681,-20.86950654,-19.74422008,-51.7145302,-6.828569429,4.126598529,-3.358446897,-1.465668646,-0.726955809,0.236215283,0.297395063,-0.672980676,-0.320775595,0.044556311,0.538938873,-0.38724623,0.348789344,0.326318363,-0.102903569,-2.137029894
ME-18.xyz,-8.606845292,3.455324662,-10.46748322,-6.284208638,8.26158499,-2.564531448,-4.570223729,-4.226177123,-1.573291822,2.580555544,-0.068394984,-5.102936049,-5.498541843,-2.337109097,-1.289699183,-3.76021046,-7.100310521,3.670242661,0.159254858,0.600545057,-2.0706365
ME-2.xyz,-5.939982137,0.785437915,-2.569807034,-3.192669867,4.060608852,-4.312973993,9.89151457,11.46996538,-0.694574092,-16.46070629,-0.946804106,-12.6821986,1.931693313,25.04631783,-0.250972292,-0.316823151,-1.586571937,1.409134868,0.178861514,-1.194871444,-1.765685496
ME-22.xyz,-4.260476681,1.262918897,15.91408526,0.059164121,-3.645126769,-4.202948138,-13.53093406,5.111156397,1.819408552,12.7652545,-8.056670641,-12.41252608,-9.565594438,1.454599915,1.242920536,3.71218607,-0.582773491,0.947129613,3.74016017,0.916194831,-1.534690393
ME-27.xyz,-6.293355654,0.619281388,-2.570853645,-3.475457686,2.935491238,1.801265648,15.06756493,18.54392314,-0.760112829,5.886165079,0.973097955,8.465817126,-3.198402883,-0.610822827,-2.674181386,-0.424125402,-0.42323569,-0.3359086,-0.180729973,18.21163991,-1.422151161
ME-5.xyz,-6.149434038,-0.230536925,16.61803044,2.95327022,-0.808017756,-5.154604805,4.761847337,-4.877647041,0.218655952,-2.59091522,18.03739252,-3.014125804,-7.030127488,-1.104854266,10.75722751,4.243944486,3.530817736,0.485843997,0.347668394,0.937565765,-1.293899451
ME-7.xyz,-5.783022794,-0.277012265,16.90334917,1.195426228,-7.258946472,31.59716389,3.35575821,-4.79129905,2.469583398,-5.98279121,-4.888724034,-0.999693573,-4.952794963,-0.790525959,0.334277385,2.178866097,-0.569363606,0.142301922,-14.99636776,-0.053024845,-1.098600453
ME-8.xyz,-4.171740968,2.012475918,18.0387855,-1.455113789,-4.535542205,-4.739935296,-22.75916554,12.12212602,2.871911477,-13.40765579,1.58329077,9.685412639,-0.32460481,-1.932026693,-1.113890513,2.137653867,0.644574278,0.231823107,5.769610759,0.667419791,-1.049759674
PQS.xyz,-7.408432959,-0.63629727,15.26417808,2.436766998,-1.20252674,-6.208439014,3.484266037,-4.50850604,1.812126441,-0.713568847,-0.141488645,-1.003224413,-0.069062603,-1.297495733,-4.686456066,0.603801204,-2.837469805,-3.946436144,0.229999882,-0.117803077,-0.837157667
