"X86","X87","X88"
0.1,-0.04,-0.12
0.22,-0.27,-0.22
0.02,0,0.05
0.01,-0.05,-0.03
0.08,-0.12,-0.1
-0.09,-0.04,0.02
-0.1,-0.05,-0.01
0.17,-0.02,-0.03
-0.02,0.04,0.04
0,-0.01,0
-0.02,0.04,0.03
0.07,-0.11,-0.15
0.04,-0.09,0.01
0.1,0.19,-0.18
0.05,-0.21,-0.03
0.1,-0.12,-0.12
0.19,-0.2,-0.24
0.14,0.17,-0.1
0.1,-0.16,-0.16
0.19,-0.22,-0.14
0,-0.09,-0.04
-0.07,0.33,0.27
-0.15,-0.02,0.01
-0.2,0.02,-0.19
-0.32,0.16,0.22
0.01,-0.11,-0.07
-0.1,0.14,0.13
-0.15,-0.14,-0.01
0.13,-0.18,-0.17
0.12,-0.16,-0.15
-0.24,0.27,0.15
0.1,-0.17,-0.17
-0.27,0.4,0.4
0.28,-0.19,-0.1
0.12,-0.18,-0.16
0.02,-0.04,-0.04
-0.07,0.1,0.09
0.23,-0.32,-0.29
-0.11,0.09,0.03
0.08,0.23,-0.2
0.13,0.27,-0.22
-0.19,-0.2,0.07
-0.01,-0.01,0.01
0.09,0.09,-0.03
-0.34,-0.36,0.12
0,0,0
-0.12,-0.21,0.13
0.05,0.06,-0.03
0.29,0.38,-0.17
0.09,0.08,-0.02
0.1,0.05,0.02
-0.04,-0.05,0.02
-0.2,-0.27,0.13
0.01,0.02,-0.02
-0.23,-0.23,0.06
0.06,0.08,-0.03
0.01,0.02,-0.01
0.07,0.08,-0.03
0.12,0.16,-0.08
-0.03,-0.04,0.02
-0.17,-0.32,0.21
0.09,0.16,-0.11
0,0.01,-0.01
0,0.01,-0.01
0.12,0.13,-0.05
0.22,0.24,-0.08
-0.13,-0.03,-0.07
-0.16,-0.05,-0.08
-0.05,-0.07,0.04
-0.18,-0.26,0.14
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0.01
0,0,0
0,0,0
0.02,0,0.02
0,0,0
0.41,-0.11,0.46
0,0,0
0.51,-0.14,0.57
0,0,0
0,0,0
