"X53","X54","X55"
0.14,0.21,-0.2
-0.02,-0.12,0.11
0.09,0.14,-0.11
0.05,0.12,-0.13
0.02,-0.02,0.13
-0.15,-0.09,-0.03
0.04,0.04,0.02
-0.27,0.02,-0.12
-0.03,0,0
0.01,0.02,-0.02
0,0,0
0.04,-0.1,0.02
0.06,0.08,-0.09
0.15,0.07,-0.05
0.16,-0.14,0.14
-0.19,-0.27,0.24
0.01,0.19,-0.19
-0.15,-0.22,0.18
0.04,0.07,-0.15
-0.03,0.03,-0.06
-0.11,-0.25,0.22
-0.09,-0.04,-0.09
0.08,-0.23,-0.21
-0.02,0.02,0.02
0.02,-0.01,0.01
-0.15,-0.26,0.25
-0.08,-0.07,0.13
-0.1,0.18,-0.08
0.05,0.12,-0.1
-0.07,-0.15,0.15
-0.18,0.23,0.11
0.19,0.36,-0.36
0.1,0.15,-0.15
-0.05,0.2,0.02
-0.02,-0.05,0.05
0.12,0.27,-0.25
0.2,0.43,-0.4
0.06,0.12,-0.11
0,0,-0.02
0.23,0.02,0.15
-0.23,-0.03,-0.12
-0.07,-0.02,-0.04
0.1,0.04,-0.07
0.44,-0.15,0.08
0.13,-0.04,0.04
0,0.03,0.03
-0.02,0.01,-0.01
-0.41,0.08,-0.13
0.1,-0.02,0.03
-0.45,0.08,-0.13
0.1,-0.03,0.04
-0.15,0.03,-0.06
-0.05,0.03,0
-0.33,0.17,0.01
0.07,-0.01,0
-0.01,0.01,-0.02
0.29,-0.06,0.07
0.43,-0.11,0.1
-0.19,0.06,-0.05
0.01,-0.01,0.01
0.08,0.03,0.07
0.17,0.05,0.14
0.01,-0.01,0
-0.04,0,-0.02
0.37,-0.11,0.07
-0.21,0.06,-0.05
-0.25,0.12,-0.01
0.21,-0.1,0
0.25,0,0.14
-0.08,0,-0.04
0,-0.01,-0.01
0,0,0
0,-0.01,-0.01
0,0,0
0,-0.01,-0.01
0,0.13,0.14
-0.02,0.66,0.69
0,0,0
0,-0.01,-0.01
0,0,0
-0.01,0.13,0.14
0,0,0
0,0,0
0,0,0
