"X14","X15","X16"
0,-0.04,0.08
0,0.03,0.04
0,0.12,0.02
-0.01,-0.02,0.01
-0.01,0.06,0.02
0,-0.01,-0.06
-0.01,-0.03,0.04
0,-0.05,0.03
0,-0.02,-0.01
0,0,0
0,0,0
-0.04,0.06,0.08
0.04,0.11,-0.05
0.04,-0.02,0.08
0,0.07,0
0,-0.01,-0.01
0,-0.01,0
0.06,0.11,-0.08
-0.16,0.09,0.08
0.13,0.01,0.1
-0.03,-0.01,0.06
0.01,0.09,0.16
0.01,0.02,0.01
0,0,0.01
-0.01,0.14,0.17
0.03,0.03,0.05
0.05,-0.1,-0.12
0.25,0.01,0.04
0,-0.01,-0.01
0,0,-0.01
-0.02,0.01,0.04
0.01,0.01,0
-0.02,-0.01,-0.05
-0.13,0.01,0
0,0.02,0
0,0.02,-0.02
0,-0.01,0
0,0.02,0
0.01,0.15,0.02
0.01,-0.01,0.01
0.01,-0.04,-0.02
0.07,-0.03,0.07
-0.04,-0.13,0.22
0,0.01,-0.03
-0.01,0.02,-0.06
0,-0.01,0.01
0,0,0.02
0,0,0
0,0,0
-0.01,0.08,-0.01
0.06,0.06,-0.02
0.14,-0.13,-0.03
-0.07,0,-0.01
0.02,-0.02,0
-0.14,-0.07,-0.01
0.06,-0.13,0.03
-0.08,-0.07,0.02
0.05,-0.01,0.01
-0.09,-0.05,0.01
0.01,0.01,-0.01
0.02,-0.04,0.05
0.04,0.02,0.01
0,-0.02,-0.01
-0.04,0,-0.01
-0.05,0.01,0.01
-0.02,-0.04,0
0.03,0,0.03
-0.01,-0.01,0.01
-0.02,0.01,0.01
-0.02,-0.02,0
0,-0.03,-0.08
0,0,-0.01
0,0,-0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
