"X50","X51","X52"
0.16,0.25,-0.27
-0.05,-0.15,0.06
0,-0.02,-0.09
0.01,0.04,-0.03
-0.01,-0.07,0.03
-0.11,-0.04,0.08
0.07,0.11,-0.1
-0.15,0.13,-0.06
-0.01,0.01,-0.01
0.02,0.04,-0.03
0,0.01,-0.01
0.04,0.04,-0.07
-0.05,-0.11,0.09
0.03,-0.15,-0.11
0.06,-0.15,-0.22
0.11,0.31,-0.18
-0.09,-0.07,0.2
-0.04,0,0.07
-0.08,0.18,-0.04
0.07,0.02,0
-0.18,-0.33,0.32
-0.13,0.13,0.06
0.32,-0.01,0.1
-0.05,0,0.01
0.08,-0.04,-0.05
0.1,0.28,-0.24
-0.01,0.08,-0.04
-0.16,0.1,0.05
0.08,0.16,-0.15
-0.1,-0.2,0.19
0.12,0.02,0.07
0.2,0.44,-0.4
0.11,0.19,-0.2
0.19,0.08,-0.04
0.03,0.05,-0.05
-0.11,-0.24,0.22
-0.17,-0.35,0.31
-0.04,-0.1,0.09
0.02,0.04,0.06
0.05,-0.27,-0.26
-0.06,0.24,0.23
-0.1,0.11,0.07
-0.09,0.09,0.06
-0.34,0.39,0.24
-0.04,0.06,0.04
-0.07,0.19,0.16
-0.04,0.04,0.03
0.21,-0.31,-0.23
-0.03,0.05,0.04
-0.22,0.23,0.13
0.06,-0.08,-0.05
-0.03,0.09,0.07
-0.01,0.01,0.01
-0.05,0.12,0.11
0,-0.02,-0.02
0.09,-0.12,-0.08
0.04,-0.04,-0.03
0.16,-0.22,-0.15
-0.09,0.13,0.09
0.01,-0.01,0
-0.06,0.15,0.13
-0.11,0.29,0.25
0.01,-0.01,0
-0.01,-0.01,-0.02
0.21,-0.23,-0.13
-0.11,0.12,0.07
-0.16,0.03,-0.05
0.14,-0.03,0.04
-0.13,0.25,0.2
0.03,-0.07,-0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.03,-0.01,-0.02
-0.15,-0.03,-0.11
0,0,0
0.03,0,0.02
0,0,0
0.78,0.14,0.56
0,0,0
0,0,0
0,0,0
