"X95","X96","X97"
0.04,0.05,0.12
0.04,0.05,0.05
-0.05,0.12,0.01
-0.1,0.32,0.15
0.17,-0.01,0
0.01,0.4,0.11
0.39,-0.04,0.07
0.01,-0.11,0.02
0.57,-0.04,0.03
0.01,0,0
0.1,-0.01,0
0.21,-0.12,0.02
0.48,0.16,-0.04
-0.02,-0.21,0.05
-0.04,0.06,-0.02
0.03,0,0
0.08,-0.01,0.01
0.02,0.32,-0.12
0.05,-0.09,0.03
-0.11,-0.2,0.07
0.04,-0.22,0.08
-0.04,-0.34,0.11
0.01,0.02,-0.02
0,-0.08,0.06
-0.01,-0.28,0.09
0.02,-0.22,0.09
0,0.22,-0.07
-0.15,-0.04,0.01
-0.01,0.04,-0.02
0,0.01,0
0.01,-0.07,0.02
0,-0.1,0.05
0.04,0.09,-0.03
0.1,-0.05,0.03
0.01,0.11,-0.04
0.02,-0.03,0.02
0,-0.02,0.01
0.01,0.05,-0.02
0.01,0.29,-0.1
0.09,0.02,-0.01
0.02,-0.09,0.04
0.26,0.16,-0.08
-0.07,0.56,-0.32
0.01,-0.06,0.04
-0.04,-0.13,0.07
0.01,0.04,-0.03
0.01,0.05,-0.03
0,0.01,-0.01
0,0.01,0
-0.02,-0.08,0.06
0.05,-0.13,0.08
0.09,-0.14,0.09
-0.1,-0.05,0.03
0.02,0,0
-0.15,-0.1,0.06
0.06,-0.11,0.08
-0.1,-0.04,0.04
0.06,0.03,0
-0.06,0.05,0
0.03,0.55,-0.12
0.19,-0.08,0.02
0.13,0.03,0
-0.05,-0.39,0.09
0.7,-0.04,0.03
0.06,-0.01,0
-0.05,0,0
0.01,0.01,0
0.02,0,0
0.02,-0.01,0
0,0.01,0
0.01,-0.06,-0.18
-0.02,0.18,0.58
-0.01,0.21,0.71
-0.03,0.06,0.21
0,0,0
0,0,0
0,0,0.01
0,0,0
0,0,0
0,-0.01,-0.02
0,0,0
0,0,0.01
0,0,0
0,0,0
