"X41","X42","X43"
-0.12,-0.23,0.21
-0.02,0.13,-0.14
-0.23,-0.11,0.11
0.05,0,-0.02
-0.19,0,0.09
0.06,-0.16,0.06
0.03,0.15,-0.1
0.06,0.01,-0.11
0,0,-0.01
-0.03,-0.05,0.05
0,-0.01,0
0.05,0.04,-0.07
-0.05,-0.11,0.09
-0.17,-0.08,-0.03
-0.21,0,-0.14
-0.07,-0.26,0.29
0.15,0.15,-0.09
0.03,-0.04,0.05
-0.01,0.13,-0.04
0.11,-0.01,-0.01
-0.19,-0.33,0.33
-0.04,0.06,0.06
0,0.2,0.16
-0.02,-0.02,0.01
0.19,-0.13,-0.06
0.13,0.27,-0.26
-0.09,0.14,-0.06
-0.11,0.05,0
-0.18,-0.35,0.33
0.18,0.38,-0.36
0.02,-0.08,-0.13
0.08,0.19,-0.16
0.02,0.09,-0.07
0.07,-0.06,-0.12
0.03,0.04,-0.05
-0.15,-0.29,0.27
0.08,0.18,-0.16
0.04,0.05,-0.06
0.07,-0.07,-0.05
0.29,0.03,0.19
-0.3,0.01,-0.16
-0.09,0.03,-0.02
0.09,-0.04,0.01
0.38,-0.13,0.06
0.12,-0.04,0.02
0.29,-0.05,0.1
-0.07,0.02,-0.01
0.5,-0.12,0.13
-0.08,0.02,-0.02
-0.16,0.1,0.02
0.03,-0.02,0
0.37,-0.13,0.05
-0.13,0.03,-0.03
-0.42,0.06,-0.16
-0.06,0.03,0.01
-0.13,0.02,-0.05
-0.05,0.03,0
-0.27,0.07,-0.06
0.15,-0.04,0.04
0.01,-0.01,0
0.16,-0.01,0.08
0.29,0,0.15
0.01,0,0
-0.05,0.01,-0.02
0.39,-0.13,0.06
-0.21,0.07,-0.04
0.16,-0.11,-0.04
-0.14,0.1,0.03
-0.27,-0.01,-0.15
0.08,0,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.06,-0.06
-0.02,0.58,0.61
0,-0.11,-0.11
0,0,0
-0.01,0.35,0.36
0,0,0
0,-0.01,-0.01
0,0,0
0,0,0
0,0,0
