Sample,NPA_1_P,NPA_2_P,NPA_4_P,NPA_5_P,NPA_Avg_H_onPhos,dip_x_P,dip_y_P,dip_z_P,Total_P,max_PH_vib,min_PH_vib,AvG_PH_vib,cross_P,cross.angle_P,para_P,para.angle_P,"Dist_(P,C)_P",avg_dist_PH,Aniso.Polar_P,B1_1_SM,B5_1_SM,L_1_SM,loc.B5_1_SM,loc.B1_1_SM,B1_2_SM,B5_2_SM,L_2_SM,loc.B5_2_SM,loc.B1_2_SM,NPA_1_SM,NPA_2_SM,NPA_3_SM,NPA_4_SM,NPA_5_SM,NPA_6_SM,NPA_7_SM,NPA_sum_SM,Avg_NPA_SM,diff_NBO_C_Hhal,dip_x_SM,dip_y_SM,dip_z_SM,Total_SM,cross_SM,cross.angle_SM,para_SM,para.angle_SM,"Dist(Hhal,C)_SM",Iso.Polar_SM,Aniso.Polar_SM,fr_Ar_N,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_alkyl_halide,fr_amide,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_methoxy,fr_pyridine,class
M,0.84841,-0.37648,0.04154,-0.31979,0.067443333,8.6659,6.3245,-0.3561,10.7343,2589.8448,2539.7375,2563.2953,1648.1014,75.99478252,1612.8603,11.98499882,1.766408068,1.395481832,181.888,1.82,9.25,6.08,2.86,3.8,1.92,4.47,4.82,-3.78,2.39,0.21415,-0.14001,-0.26017,0.0539,-0.39822,0.13468,-0.09644,-0.70626,-0.11771,-0.35416,-0.1801,1.7277,-0.1637,1.7448,1679.4945,79.75376518,1644.0239,9.057492476,1.083822034,178.622,164.898,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2
N,0.83788,-0.36989,0.03563,-0.11738,0.092716667,6.6429,7.3962,-1.00E-04,9.9414,2584.072,2576.368,2578.936,1617.8473,59.47214761,1595.6467,24.41135469,1.788571578,1.395230968,59.7597,1.7,5.16,4.85,3.15,4.45,1.7,3.16,4.7,2.57,2.32,0.24045,-0.16656,-0.20693,0.01065,-0.18899,-0.15726,0.0358,-0.67329,-0.112215,-0.40701,5.7632,1.7718,0,6.0294,1652.4797,77.00737831,1628.4411,5.822149055,1.081066402,70.4723,56.1678,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2
O,0.80975,-0.03471,-0.09838,-0.37201,0.07768,9.2964,-9.3801,-0.1261,13.207,2600.5396,2536.6538,2566.1353,1623.7247,88.50292307,1648.3739,17.69201105,1.797830811,1.395307621,103.458,1.81,4.5,7.57,4.59,6.08,1.75,5.64,4.88,0.22,2.46,0.19076,-0.03712,-0.11083,0.09419,-0.40373,0.02642,-0.2284,-0.65947,-0.109911667,-0.09657,3.7587,-0.652,-0.0838,3.8157,1553.5699,63.61603036,1681.5228,21.22660193,1.08711588,122.337,90.9399,1,0,0,2,0,0,0,1,1,0,0,0,0,1,2
P,0.8606,-0.36481,0.06231,-0.32475,0.07167,1.8222,6.317,-1.00E-04,6.5746,2600.1055,2559.3783,2586.529767,1669.2298,80.40266037,1632.9953,15.43769917,1.777049184,1.393073961,88.3694,1.7,5.52,4.89,0.2,4.51,1.7,4.34,4.81,-1.83,2.38,0.23001,-0.14512,-0.25498,0.05813,-0.39908,0.0968,0.09747,-0.54678,-0.09113,-0.37513,0.002,-0.0004,0,0.002,1681.8852,88.82971551,1642.6369,12.65836651,1.082477673,101.675,84.5283,2,0,0,2,0,0,0,0,1,0,0,0,0,2,2
Q,0.83355,-0.31714,-0.1971,-0.33998,0.07301,7.1407,-3.8629,0,8.1186,2585.224,2580.2678,2581.919867,1592.9934,88.48330279,1628.8295,5.462836441,1.788362335,1.394797834,118.367,1.7,5.51,4.89,2.65,4.52,1.7,4.19,4.21,-1.2,2.86,0.19549,-0.36204,0.00834,0.01163,-0.36251,0.09975,0.09986,-0.50497,-0.084161667,-0.18386,-0.4028,-0.0002,0.0001,0.4028,1659.8099,81.87656661,1659.8099,81.87656661,1.085179864,102.477,86.0349,2,0,0,2,0,0,0,1,1,0,0,0,0,0,2
R,0.85191,-0.36008,0.05788,-0.33822,0.070836667,6.3243,5.1747,0.2742,8.1762,2589.3174,2552.1946,2576.943133,1649.2396,54.20495315,1595.9417,4.243375394,1.782189713,1.39399621,76.1236,1.97,6.33,5.93,3.28,3.77,2.15,4.11,4.81,-2.59,-0.64,0.2236,-0.14925,-0.2495,0.03223,-0.40686,0.04876,-0.11451,-0.83913,-0.139855,-0.37285,1.9235,0.8157,0.4197,2.131,1676.9885,58.38593442,1644.1018,29.31317277,1.082994764,120.479,78.2082,3,0,0,3,0,0,1,0,0,0,0,0,0,1,2
S,0.83504,-0.14176,0.06446,-0.32238,0.085923333,2.8827,7.4779,0,8.0143,2585.5936,2583.3551,2584.101267,1693.4242,82.4240377,1557.8391,9.283142045,1.780084586,1.393874362,71.8771,1.7,5.25,4.87,1.7,4.5,1.7,4.26,4.75,0,2.31,0.23369,0.07031,-0.32626,0.06719,-0.39911,0.28583,-0.15688,-0.45892,-0.076486667,-0.16338,1.7535,0.9411,-0.0003,1.9901,1707.226,82.93147909,1591.9373,4.206789726,1.080390215,85.7759,67.7197,3,0,0,3,0,0,0,0,1,0,0,0,0,0,2
T,0.82758,-0.28269,-0.13315,-0.34982,0.082343333,1.5968,-2.6753,-1.00E-04,3.1157,2591.0671,2581.9554,2584.992633,1681.9092,21.02447652,1681.9092,21.02447652,1.79161296,1.394248858,72.9781,1.7,3.93,6.01,2.88,3.76,1.7,5.33,4.81,1.44,3.75,0.209,-0.29581,0.24673,0.06958,-0.40942,-0.05035,-0.02827,-0.46754,-0.077923333,-0.13942,-2.9692,2.2238,0,3.7097,1575.9288,64.17755574,1699.3193,19.13674796,1.084330436,85.0401,63.101,3,0,0,3,0,0,0,0,1,0,0,0,0,0,2
U,0.83756,-0.37107,0.05851,-0.35983,0.08061,6.8733,5.8019,-4.11,9.8892,2583.5207,2543.1147,2570.052033,1652.6977,48.03666425,1613.2719,41.82566028,1.77883326,1.395371266,65.0221,1.95,8.41,5.92,2.24,1.54,1.95,7.4,5.05,2.06,0.46,0.22239,-0.16414,-0.04987,0.03296,-0.42039,0.06827,-0.21072,-0.74389,-0.123981667,-0.38653,3.9997,0.1762,1.2184,4.1848,1671.8652,54.07867465,1641.2363,32.43061892,1.084002214,195.998,61.413,1,1,1,1,6,0,1,1,0,1,1,6,0,1,2
V,0.85151,-0.37325,0.05186,-0.33772,0.07001,4.0445,6.1086,0.6144,7.3519,2589.8817,2581.4235,2584.2429,1640.39,56.57284448,1608.2289,36.59285159,1.779833155,1.394326558,89.2129,1.89,6.93,6.48,4.61,4,2.09,3.29,4.81,-4.03,2.38,0.2176,-0.16096,-0.25024,0.02786,-0.40785,0.04925,-0.09228,-0.83422,-0.139036667,-0.37856,-0.2716,2.3063,0.0282,2.3223,1669.4996,60.87682011,1638.5522,23.3051073,1.083353153,129.531,99.2209,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2
W,0.90605,-0.31488,0.09568,-0.3784,0.05492,5.5667,-0.1601,5.286,7.6782,2616.2604,2559.8142,2589.468467,1640.9477,85.20986484,1612.269,8.449166914,1.78855929,1.391715196,111.645,1.75,9.3,12.58,10.33,1.01,1.75,9.51,4.79,-7.87,3.76,0.23713,-0.11422,-0.27715,0.06959,-0.4391,0.27547,-0.22563,-0.71104,-0.118506667,-0.35135,-0.5622,2.1078,-1.9536,2.9284,1667.2739,89.93003508,1641.7332,5.824417803,1.080620974,264.617,117.248,1,2,2,2,0,1,1,1,0,1,2,1,0,1,2
X,0.84966,-0.37202,0.0732,-0.33669,0.07062,-15.5282,7.0924,-6.1823,18.1562,2582.8365,2575.5851,2580.419367,1639.7094,56.42310715,1609.3282,35.42873213,1.780233366,1.394414467,157.334,2.06,12.6,7.6,0.67,3.77,1.98,8.72,12.41,9.34,3.78,0.21775,-0.15898,-0.09806,0.05425,-0.40472,0.03279,-0.24912,-0.82384,-0.137306667,-0.37673,-0.9889,3.014,-0.0317,3.1722,1668.9879,70.01564598,1644.8478,22.2430169,1.083431195,215.394,168,2,0,0,2,3,0,0,1,0,0,0,4,0,2,2
Y,0.90746,-0.32113,0.0869,-0.37238,0.016826667,-11.9648,10.8784,3.8715,16.6279,2586.9031,2465.7132,2535.412067,1657.98,61.2338239,1604.32,30.84410549,1.796487053,1.398457239,171.636,2.17,8.2,6.94,-2.66,0.19,2.18,8.26,9.01,4.82,4.56,0.23134,-0.13125,-0.13519,0.07028,-0.42727,0.21223,-0.25325,-0.66445,-0.110741667,-0.36259,-2.6024,1.2409,3.1602,4.2778,1677.1165,55.94090665,1643.417,32.74211675,1.082448232,262.597,154.413,1,0,0,2,0,0,1,1,3,0,0,1,0,1,2
Z,0.84679,-0.3736,0.05734,-0.36724,0.067453333,11.4649,18.9356,-1.1319,22.1648,2583.96,2571.8322,2575.8748,1622.6929,83.4726738,1601.6556,1.791762871,1.775564632,1.394915351,134.126,2.35,9.41,4.83,1.21,3.76,2.33,11.3,6.08,4.28,3.78,0.21178,-0.15903,-0.25293,0.03442,-0.42812,0.18426,-0.04963,-0.67103,-0.111838333,-0.37081,2.7984,3.1866,-1.7357,4.5824,1662.612,89.18065929,1633.8332,4.100309896,1.084898809,285.388,119.968,1,1,1,2,0,1,1,1,2,0,1,1,0,1,2
AN,0.85479,-0.37566,0.07951,-0.36111,0.074006667,16.8837,12.1104,-3.3428,21.0451,2585.6572,2540.0492,2564.9909,1639.3949,52.31050643,1615.9136,36.12792791,1.775561277,1.395257781,130.964,1.87,9.73,4.85,0.86,3.77,1.82,7.71,4.79,-3.04,2.36,0.22001,-0.16223,-0.25618,0.04617,-0.42049,0.17956,-0.23756,-0.85073,-0.141788333,-0.38224,3.5605,0.6896,-1.3928,3.8849,1660.6022,73.63519155,1666.9623,32.57344129,1.082377664,155.37,113.861,1,0,0,1,0,0,0,1,0,0,0,5,0,1,3
AO,0.85444,-0.38229,0.07356,-0.34075,0.07322,4.2706,12.3114,-0.1582,13.0321,2587.6809,2545.6461,2568.4544,1644.058,53.30604717,1631.0148,35.5965739,1.77462235,1.395255654,73.7357,1.95,4.29,4.86,0.52,-1.3,1.91,6.2,4.79,1.43,2.36,0.21798,-0.16317,-0.259,0.0466,-0.433,0.16045,-0.2455,-0.89362,-0.148936667,-0.38115,1.5208,1.2153,0,1.9468,1657.2273,56.33945071,1671.3125,28.25510762,1.082506493,98.6174,50.1627,1,0,0,1,0,0,0,0,0,0,2,0,0,1,3
AP,0.85683,-0.38307,0.07247,-0.3746,0.071136667,9.6215,11.3142,0.7942,14.8733,2580.133,2570.2613,2576.842433,1639.2116,52.8467695,1626.2466,34.56777662,1.773196203,1.395491651,43.3499,2.55,8.44,4.86,2.01,2.42,2.48,7.51,4.8,-0.75,3.75,0.21695,-0.16179,-0.2639,0.04009,-0.44189,0.20689,-0.25542,-0.87602,-0.146003333,-0.37874,0.7229,1.4283,-0.769,1.7759,1652.4414,55.10317567,1668.47,28.38822903,1.082701878,232.703,50.8445,1,0,0,1,0,0,0,1,0,0,0,0,0,1,3
AQ,0.8874,-0.36812,0.22998,-0.37269,0.06575,-6.0239,9.7687,3.8044,12.0908,2616.7611,2549.445,2582.053967,1650.36,50.70313337,1647.8934,39.63625981,1.782537125,1.392326847,101.837,2.72,8.04,5.72,-2.69,3.58,2.7,7.59,8.69,6.05,1.27,0.2204,-0.16332,-0.25409,0.19687,-0.43488,0.04044,-0.26524,-0.88022,-0.146703333,-0.38372,0.5826,-0.3394,2.707,2.7897,1650.8328,60.70195688,1666.0839,25.0997868,1.082888483,256.596,85.0415,1,1,1,2,0,1,0,1,0,0,2,1,0,1,3
AR,0.86591,-0.37511,0.06479,-0.36648,0.074576667,7.7291,11.1722,5.0846,14.5055,2597.1334,2592.8595,2595.708767,1640.4036,57.10305443,1622.9728,32.22288048,1.780373193,1.393193979,110.31,2.2,10.49,5.98,-1.82,3.77,2.61,10.69,4.79,-0.44,3.75,0.21847,-0.16154,-0.26422,0.04318,-0.42811,0.22955,-0.26453,-0.84567,-0.140945,-0.38001,-0.8134,-0.3349,-0.458,0.9917,1662.6663,58.63382469,1664.7992,33.42194335,1.082598401,267.478,92.1884,1,2,2,1,0,0,0,2,0,2,2,0,0,1,3
AS,0.86537,-0.35616,0.06608,-0.37085,0.07454,7.6872,13.4232,-1.394,15.5311,2604.1325,2542.6294,2572.7362,1624.2586,49.35620987,1646.0565,37.63729027,1.780640311,1.393790189,150.99,2.19,9.42,5.01,2.46,3.77,2.38,11.31,4.79,3.29,3.75,0.22185,-0.16361,-0.2534,0.03874,-0.42019,0.17809,-0.22516,-0.84553,-0.140921667,-0.38546,0.0675,-0.5695,3.2284,3.279,1650.37,49.01960728,1666.6127,40.56575782,1.082198473,317.748,104.917,1,2,2,2,0,2,0,2,0,0,1,2,0,1,3
AT,0.85841,-0.387,0.07254,-0.34428,0.070853333,13.6482,17.9602,0.4433,22.5618,2587.1825,2541.1725,2566.4761,1638.2411,73.49696754,1645.1456,27.32006632,1.772292238,1.395206918,209.93,1.97,10.35,4.86,-4.1,3.77,1.99,11.58,5.91,-2.48,3.75,0.21893,-0.16735,-0.2478,0.04348,-0.41743,0.15786,-0.214,-0.84524,-0.140873333,-0.38628,2.093,0.3565,-0.0861,2.1249,1656.3382,60.83827885,1666.7053,30.2812368,1.082381093,244.698,197.265,3,1,1,3,0,0,0,0,0,1,1,1,1,3,3
AU,0.85731,-0.37991,0.07915,-0.36379,0.07107,4.8177,12.0412,0.3238,12.9732,2587.5004,2545.1567,2567.907333,1637.1382,53.76731957,1611.6427,34.5083137,1.773396958,1.39522565,130.769,1.87,6.74,4.86,0,3.77,1.82,7.01,4.79,-1.59,2.36,0.21664,-0.16591,-0.26322,0.04447,-0.42223,0.18633,-0.24093,-0.86149,-0.143581667,-0.38255,-0.0492,1.785,0.0465,1.7863,1661.6382,76.36055694,1667.299,34.74428901,1.082571296,131.285,106.828,1,0,0,1,0,0,0,1,0,0,0,0,0,1,3
