formula,accuracy,precision,recall,f1,avg_accuracy,avg_f1,Model_id
"('flag', '-2-3-')",0.9272727272727272,0.9318181818181818,0.9272727272727272,0.9279879540749105,0.909090909090909,0.905951825951826,0
"('flag', '-2-3-', '-2-7-')",0.9454545454545454,0.9470355731225295,0.9454545454545454,0.9458491895701198,0.909090909090909,0.9062404262404262,1
"('flag', '-2-7-')",0.9636363636363636,0.9651515151515151,0.9636363636363636,0.9638202040628735,0.8909090909090909,0.8715151515151515,2
"('-2-3-', '-2-7-')",0.6727272727272727,0.6702564102564103,0.6727272727272727,0.6676190476190477,-inf,-inf,3
