combination,r2,q2,mae,rmsd,threshold,model
"('cross', 'para', '-1-2-', 'diff O17 C18')",0.6213932646648106,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'diff C18 H19')",0.638544600631704,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'diff C18 C20')",0.6423955640268906,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'B1')",0.7417116829092267,-2.3592961514567765,0.20710401657677344,0.31960371289179335,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'B5')",0.7937210428316197,0.3458590381792135,0.11417064768265286,0.14103384373773517,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'L')",0.6553347622729867,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', '-2-9-')",0.7229985563822411,-2.385902588887165,0.21620958984533598,0.3208668859913464,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', '-1-10-')",0.7369022767600292,-1.7346700354659337,0.19141792806888028,0.28836339882175605,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', '-9-16-')",0.7227059446832589,-1.4632677836583685,0.18801229716811393,0.27368026593703904,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', '-17-18-')",0.7434783580455624,-1.575304884904345,0.2028707873665833,0.27983497627888293,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', '-18-19-')",0.723174607224131,-1.3950518860564571,0.1831298212193303,0.26986411160682766,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', '-18-20-')",0.7404798384167453,-1.484558252832937,0.19876063721082404,0.2748604553061633,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(1, 2)')",0.7292576561616968,-1.375644985735029,0.18719964002606107,0.2687685448792889,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(2, 3)')",0.7580368835341977,-1.2117045911788447,0.17734269809017886,0.25932908605832017,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(2, 9)')",0.7382344677321566,-1.498240458243259,0.2025547284148373,0.27561623029527066,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
