"X101","X102","X103"
0.01,0.03,-0.03
-0.02,0.06,-0.02
0.04,0.07,0.05
0.06,0.05,-0.01
-0.26,0.09,0
0.1,0.19,-0.03
-0.07,0.01,-0.03
-0.04,0.11,-0.02
0.01,0.01,0
0.01,0.01,0.02
0,0.02,0.03
-0.04,0.1,-0.01
0,0,0
0,0,0
0.23,-0.01,-0.02
0.05,-0.05,0.06
-0.03,-0.05,0.06
0,-0.07,0.2
-0.01,-0.01,0.01
0.01,-0.03,-0.03
0.01,-0.06,-0.03
0.02,0.1,0.15
-0.01,-0.22,0.19
0.04,-0.02,-0.02
-0.04,-0.17,0.06
0.07,-0.08,0.03
-0.01,-0.17,0.04
0.01,0,0.02
-0.02,-0.04,0.07
-0.01,-0.08,0
-0.01,-0.13,0.05
-0.01,-0.27,0.03
-0.1,-0.03,0.01
0,0.06,0.01
-0.02,0.03,0
-0.01,0.17,0.02
0.03,0.04,0.02
0,0.19,-0.01
-0.08,-0.07,-0.02
0.08,-0.21,-0.02
0.38,-0.02,0
0,-0.01,-0.01
0,-0.03,0
-0.27,0.01,0
0.06,-0.01,0.01
0,-0.04,0.02
-0.03,-0.02,0.02
-0.02,0.01,0
-0.02,-0.01,0.01
0.02,0.36,-0.2
0.01,-0.05,0.02
0.43,-0.19,0.1
0.27,0.15,-0.15
0.07,-0.02,0
-0.01,-0.09,-0.02
0.01,0.21,-0.03
0.02,0.21,-0.04
0.03,0.24,-0.04
-0.03,-0.01,0.05
-0.02,0.1,-0.08
-0.16,0.34,0.01
-0.2,-0.34,0.02
-0.09,-0.16,0.03
0.07,-0.01,-0.03
0.18,-0.49,0.11
0.75,0.05,-0.03
0.18,0.08,-0.03
-0.31,0.27,-0.09
-0.17,0.16,-0.05
0.22,0.55,-0.18
-0.14,-0.02,0.01
0.01,0,0.01
0.03,0,0
-0.03,0,0
-0.03,0.01,0
0.08,0,0
0,0.05,-0.04
-0.01,-0.08,-0.01
-0.02,-0.02,0.01
-0.03,-0.01,0
0.02,0.03,-0.01
0.02,0.01,-0.01
0,-0.01,0
0,-0.01,0
-0.01,-0.14,-0.5
-0.01,-0.13,-0.47
-0.01,-0.1,-0.37
0.01,0.14,0.51
0,-0.01,-0.02
0,-0.05,-0.16
0,-0.01,-0.02
0,0.01,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,-0.01
0,0.01,0.04
0,0,0
0,0,0.01
0,0,0
0,0,0
