"X74","X75","X76"
-0.02,0.14,0.04
0.2,-0.17,-0.08
-0.16,0.25,0.09
0.16,-0.16,-0.07
-0.01,0.02,-0.02
0.04,0.12,-0.09
-0.04,0.1,0.04
0.17,-0.01,-0.09
0,0.02,-0.01
-0.01,0.06,-0.13
-0.03,-0.04,0.04
-0.08,-0.06,0.05
0,0,0
0,0.01,0
-0.04,-0.06,0.02
-0.1,0.16,0.01
0.13,-0.17,-0.05
-0.08,-0.06,0
-0.12,0.17,0.05
0.19,-0.31,-0.07
-0.18,-0.05,0.12
0.09,-0.1,-0.05
0.04,0.18,-0.07
0.22,-0.29,-0.09
0.18,-0.19,-0.13
-0.05,0.05,0.05
-0.08,0.18,-0.03
-0.06,-0.02,-0.1
0.2,0.07,0.24
0.16,-0.21,-0.08
0.01,-0.11,-0.03
-0.31,0.32,0.09
-0.08,-0.26,-0.11
-0.1,0.16,0.06
-0.24,0.29,0.09
-0.02,-0.04,-0.01
0.03,0.14,0.09
-0.16,0.02,-0.03
0.06,0,0.04
-0.03,-0.03,-0.07
0,-0.01,0
-0.42,0.56,0.19
0.18,-0.24,-0.08
-0.01,0.03,0.01
-0.11,0.16,0.04
-0.13,0.19,0.05
0.02,-0.04,-0.01
0.02,0,-0.01
0.18,0.23,-0.28
-0.15,-0.1,0.01
0.18,0.16,-0.05
-0.14,-0.14,0.07
0.22,0.22,-0.11
0.01,0.01,-0.02
-0.01,-0.01,0.01
0.31,0.29,-0.19
0.06,0.06,-0.03
-0.2,-0.19,0.13
-0.05,-0.05,0.03
-0.26,-0.25,0.21
-0.01,0.02,0.01
-0.06,-0.04,0.04
-0.26,-0.19,0.02
0.27,0.21,-0.04
0.17,0.16,-0.09
-0.2,-0.17,0.11
0.05,0.03,-0.04
-0.2,-0.19,0.13
-0.07,-0.08,0.04
0.16,0.14,-0.08
-0.02,-0.02,0.01
0,0,0
0.12,0.15,-0.18
0.03,0.03,-0.04
0.05,0.06,-0.06
-0.01,-0.01,0.02
0,0,-0.01
0,0,0
0.21,0.17,-0.07
0.27,0.22,-0.09
0.1,0.06,0.04
0.14,0.08,0.04
0.13,0.12,-0.1
-0.2,-0.2,0.17
-0.01,0,-0.01
0,0,0
0,0,0
0,0,-0.01
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.28,-0.03,-0.56
0,0,0
0.35,0.04,0.69
0.01,0,0.03
0,0,-0.01
0,0,0
-0.01,0,-0.02
0,0,0
0,0,0
