"X11"
-0.24435
-0.20025
-0.03451
-0.19042
-0.26012
0.29002
-0.28267
-0.19246
0.2138
0.20722
-0.65834
0.475
0.22526
0.20952
-0.03463
-0.20286
-0.25821
0.29104
-0.28455
-0.18068
0.20946
0.20775
-0.658
0.47521
0.22475
0.2092
0.20655
-0.5974
-0.60084
0.19056
0.19677
0.21807
0.2073
0.2162
0.19958
0.20701
