"X41","X42","X43"
0.14,0.28,-0.15
-0.14,-0.09,0.06
-0.19,-0.17,0.05
0.05,-0.06,0.01
0.05,-0.03,0.01
0.09,-0.08,0
0.06,-0.13,0.02
-0.16,-0.16,0.09
0,-0.03,0.01
-0.05,0.05,0.04
0.04,-0.03,-0.02
-0.02,-0.08,0.04
-0.04,-0.06,0.03
0,0,0
-0.03,-0.01,-0.01
0.12,0.16,-0.09
0.05,0.11,-0.09
-0.14,-0.06,-0.07
-0.15,-0.28,0.15
-0.09,-0.17,0.09
0.18,0.01,0.09
0.14,-0.04,0.11
0.08,0.01,0.01
0.06,0.23,-0.08
-0.1,-0.25,0.13
-0.31,-0.28,0.19
-0.02,0.22,0
0.06,-0.15,-0.21
0,-0.02,-0.08
0,-0.24,0.06
0.24,0.26,-0.16
0.14,-0.09,0
0.06,0.28,-0.15
0.32,0.52,-0.24
-0.17,-0.23,0.1
-0.01,0.03,0.04
0.09,0.06,-0.12
-0.09,-0.11,0.07
-0.13,0.1,0.11
0.15,0.24,-0.12
-0.02,-0.02,0.02
-0.07,-0.1,0.05
-0.21,-0.37,0.16
-0.03,-0.07,0.02
-0.15,-0.18,0.11
0,0.05,-0.01
-0.03,0,0.03
0.36,-0.08,0.31
-0.01,0,-0.01
0.18,-0.09,0.04
0.31,-0.15,0.07
0.11,-0.06,0.02
-0.15,0.07,-0.05
0.21,-0.08,0.1
0.15,-0.05,0.09
-0.19,0.09,-0.06
0.42,-0.18,0.16
-0.17,0.08,-0.06
-0.16,0.11,0.02
0.01,-0.01,0
0.26,-0.13,0.05
0.18,-0.08,0.05
-0.22,0.07,-0.13
-0.28,0.1,-0.14
0.2,-0.09,0.08
0.03,-0.02,0.01
0.04,0,0.04
-0.09,0.04,-0.02
0.26,-0.12,0.1
0.01,-0.01,0
0,0,0
0.01,0,0.01
0,0,0
-0.25,0.07,-0.18
0.08,-0.02,0.06
-0.01,0,-0.01
0,0,0
-0.01,0,0
0.33,-0.17,0.08
-0.26,0.13,-0.06
0.18,-0.12,-0.04
-0.12,0.09,0.03
-0.22,0.05,-0.17
-0.13,0.03,-0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.1,0.44,0.77
0,0,-0.01
0.01,-0.06,-0.11
0,-0.01,-0.01
-0.05,0.19,0.34
-0.02,0.08,0.14
0,-0.01,-0.01
0,0,0
0,0,0
0,0,0
