"X119","X120","X121"
-0.04,0.02,-0.04
0.03,0.08,-0.03
-0.05,0.03,0.08
-0.17,-0.05,0.02
-0.16,0.04,0.29
0.18,0.18,0.24
-0.1,0.02,0.22
-0.06,0.08,0.14
-0.27,-0.23,-0.41
-0.03,-0.02,-0.02
0,-0.02,-0.15
0.25,0.26,0.08
0,0,0
-0.01,-0.01,0
-0.08,-0.13,0.08
-0.05,-0.06,-0.02
0.33,0.12,-0.02
-0.03,-0.07,-0.13
0.06,0.01,0
0.04,0,0.03
0.15,0.01,0.03
-0.21,-0.06,-0.14
0.34,-0.07,-0.09
-0.04,-0.01,0.05
0.14,-0.05,-0.02
0.02,-0.04,0.03
0.08,-0.02,0.04
0.03,-0.02,-0.02
0.1,-0.06,-0.06
-0.05,0.03,0.04
0.02,-0.02,0.02
-0.14,0.12,0.13
0.06,-0.03,-0.04
0.04,-0.04,-0.03
0.03,-0.02,-0.02
0.13,-0.13,-0.1
0.02,-0.03,-0.01
0.1,-0.11,-0.1
0.09,-0.01,-0.03
-0.09,0.14,0.12
0.1,0.09,0.14
0.11,-0.05,-0.03
0.02,0,0
0.45,-0.25,-0.14
-0.26,0.14,0.09
-0.15,0.08,0.05
-0.1,0.05,0.03
0.03,-0.02,-0.01
-0.02,0.01,0.01
0.05,-0.09,-0.09
-0.01,0.01,0.01
0.09,-0.01,0.02
0.04,-0.09,-0.1
0,-0.01,-0.01
-0.07,-0.01,-0.04
0.12,-0.02,0.02
0.14,-0.03,0.02
0.19,-0.04,0.02
-0.01,0.03,0.03
0.03,-0.04,-0.03
-0.1,0.14,0.11
0.03,-0.06,-0.07
0.02,-0.01,0
0,-0.03,-0.04
0.09,-0.1,-0.08
0.03,-0.09,-0.12
0.01,-0.03,-0.03
-0.07,0.05,0.03
-0.03,0.02,0.02
-0.02,-0.02,-0.07
0.34,-0.1,-0.15
-0.31,0.14,0.23
-0.03,0.12,0.19
0.02,-0.09,-0.16
0.13,-0.12,-0.21
0.34,0.17,0.29
0.1,0.22,0.35
0.36,0.04,0.07
0.01,-0.01,-0.01
-0.01,0.01,0.01
0,0,0
0.01,0,0.01
0,0,0
0.01,0,0
0,-0.01,0.01
0,0.02,-0.01
0.03,0.28,-0.2
0.03,0.33,-0.23
-0.04,-0.38,0.25
0.04,0.48,-0.32
0,0.03,-0.02
0.02,0.35,-0.25
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
