"X116","X117","X118"
-0.06,0.01,-0.05
0.08,0.13,-0.01
-0.14,-0.05,0.04
-0.31,-0.19,-0.03
0.2,0,0.28
0,-0.12,0.13
-0.19,-0.28,0.11
-0.02,-0.05,0.09
0.27,0.44,-0.15
0.12,0.09,0.02
0.18,0.27,-0.05
-0.14,0.04,-0.01
0,0,0
0,0,0
0.11,-0.24,0.05
-0.08,-0.04,-0.01
0.01,0.13,-0.03
-0.31,0.1,-0.07
0.01,0.02,0
0.07,-0.04,0.01
0.15,-0.03,0.01
-0.37,0.14,-0.06
-0.03,0.1,-0.05
0.07,-0.09,0.02
0.06,0,-0.01
0.07,-0.1,0.01
0.09,-0.08,0.01
-0.02,0.02,-0.01
-0.06,0.07,-0.02
0.05,-0.05,0.01
0.06,-0.06,0
0.14,-0.17,0.03
-0.06,0.08,-0.01
-0.02,0.02,-0.01
-0.03,0.04,0
-0.08,0.07,-0.02
0,-0.01,0
-0.1,0.09,-0.02
-0.06,0.13,-0.01
0.13,-0.06,0.02
0.4,-0.18,-0.01
-0.03,0.09,-0.01
-0.01,0.02,0
0.05,0.14,-0.05
0.04,-0.15,0.02
0.05,-0.11,0.01
0.01,-0.07,0.01
-0.01,0.02,0
0.01,-0.02,0
-0.14,0.13,0
0,0,0
-0.05,0.15,0
-0.26,0.27,0.01
-0.03,0.03,0
-0.12,0.04,0.02
0.13,-0.01,-0.03
0.14,0.01,-0.03
0.17,0.03,-0.04
0.04,-0.04,0
-0.03,0.06,0
0.12,-0.16,-0.01
-0.03,0.04,0.01
0.01,0.02,0
-0.03,0.01,0.01
-0.01,0.07,0.01
-0.06,-0.04,0.05
-0.01,-0.01,0.01
-0.02,-0.03,-0.01
-0.01,-0.01,-0.01
-0.02,-0.13,0.04
0.35,-0.2,0.07
-0.32,0.27,-0.1
0.14,0.25,-0.08
-0.17,-0.21,0.06
-0.3,-0.32,0.09
-0.18,0.21,-0.08
0.18,0.4,-0.12
-0.34,-0.03,0
-0.01,0,0
0.01,0.01,0
0,-0.01,0
0,0.01,0
0,0,0
0,0,0
0,0.02,0.05
0,0.04,0.13
0.01,0.16,0.56
0.01,0.13,0.45
0.01,0.11,0.36
-0.01,-0.14,-0.47
0,0.01,0.02
-0.01,0.03,0.16
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
