"X38","X39","X40"
0.18,0.35,-0.17
-0.08,0,0.04
-0.12,-0.09,0.07
0.09,0.01,-0.06
0.07,0.01,-0.06
0.04,-0.1,-0.12
0.03,-0.15,-0.03
-0.15,-0.14,0.09
0.01,-0.02,0
0.01,0.06,0.15
0.02,-0.04,-0.07
0.06,-0.01,0.01
0,0,0
0,-0.01,0
-0.04,0.04,-0.02
-0.05,-0.16,0.04
-0.14,-0.17,0.08
-0.01,0.14,-0.02
0.19,0.28,-0.16
0.12,0.2,-0.1
0.06,-0.1,-0.1
0.04,-0.15,-0.09
0.09,0.11,-0.11
0.16,0.2,-0.11
-0.11,-0.19,0.05
-0.14,-0.26,0.13
0.03,0.03,-0.09
0.24,-0.06,0.2
0.07,0,0.08
0.14,0.07,-0.09
-0.15,-0.33,0.13
0.16,-0.02,-0.11
0.01,0.37,-0.12
0.23,0.33,-0.16
-0.14,-0.12,0.08
0.13,0.03,0
-0.1,0.13,-0.07
-0.03,-0.06,0.06
0.09,0,0.11
-0.02,-0.01,0.01
0.01,0.03,0
0.08,0.14,-0.07
0.32,0.51,-0.27
0.07,0.1,-0.06
0.21,0.36,-0.16
-0.02,-0.03,0.03
0.03,0.09,0
0.11,-0.22,-0.35
0.01,0.02,0
-0.12,0.14,0.07
-0.22,0.21,0.15
-0.02,0.03,-0.01
0.14,-0.12,-0.12
0.02,-0.02,-0.02
0.04,-0.04,-0.04
0.14,-0.16,-0.15
-0.24,0.29,0.28
0.12,-0.14,-0.13
-0.03,0.04,0.05
0.06,-0.04,-0.08
0.15,-0.21,-0.22
0.12,-0.14,-0.12
-0.26,0.21,0.12
-0.27,0.26,0.15
0.09,-0.09,-0.09
0.02,-0.02,-0.03
-0.14,0.18,0.18
-0.11,0.12,0.13
0.18,-0.2,-0.18
0.03,-0.05,-0.03
-0.01,0,0
0,0,0.01
0,0,0
0.07,-0.16,-0.23
-0.03,0.06,0.08
0,-0.01,-0.01
0,-0.01,-0.01
0,0,0
0.24,-0.23,-0.18
-0.18,0.18,0.13
0.14,-0.08,0.01
-0.11,0.07,0
0.16,-0.2,-0.22
0.09,-0.12,-0.13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.29,0.02,-0.3
0.01,0,0.01
0.05,0,0.06
-0.01,0,-0.01
0.57,-0.05,0.59
0.25,-0.02,0.27
-0.03,0,-0.03
0.01,0,0.01
0,0,0
0,0,0
