formula,accuracy,precision,recall,f1,mcfadden_r2,avg_mcfadden_r2,avg_accuracy,avg_f1,Model_id
"('-2-3-', '-2-7-')",0.6727272727272727,0.6702564102564103,0.6727272727272727,0.6676190476190477,0.3270010205414412,,,,0
"('flag', '-2-3-')",0.9272727272727272,0.9318181818181818,0.9272727272727272,0.9279879540749105,,,,,1
"('flag', '-2-7-')",0.9636363636363636,0.9651515151515151,0.9636363636363636,0.9638202040628735,,,,,2
"('flag', '-2-3-', '-2-7-')",0.9454545454545454,0.9470355731225295,0.9454545454545454,0.9458491895701198,,,,,3
