combination,r2,q2,mae,rmsd,threshold,model,predictions
"('Dist_1-2', 'L')",0.49093483596103327,0.18644864078503087,0.12980568742648718,0.17768532350871555,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.72648024 0.83596649 0.74691123 0.71033281 0.90805422 0.96326553
 0.78235001 1.07033534 0.68203086 0.59480126 0.72033362 0.66693832
 0.5565402  0.60150213 0.83799771]"
"('Dist_2-3', 'Dist_2-9')",0.27233037800799687,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.75189974 0.85306399 0.72834153 0.72875386 0.88351181 0.94500703
 0.81224786 0.79723845 0.72737862 0.64581172 0.72247171 0.67236228
 0.560378   0.66592773 0.90944564]"
"('Dist_2-3', 'Dist_18-20')",0.20768382456366885,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.70646388 0.78205707 0.74332625 0.6546955  0.83028054 0.83841317
 0.85941924 0.96723078 0.78840158 0.75188479 0.6885861  0.68795696
 0.60731134 0.68751434 0.81029841]"
"('Dist_2-3', 'Dist_16-17')",0.5616404480413866,0.39079465396545976,0.12196062798677429,0.1537591334448095,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.77244496 0.85615089 0.87143718 0.76664967 0.91089942 0.73753815
 0.99330775 0.95631605 0.71253486 0.54844941 0.8534848  0.55211212
 0.52915725 0.56926357 0.77409391]"
"('Dist_2-3', 'Dist_10-17')",0.3450588011003777,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.70111247 0.8738288  0.78618346 0.78695905 0.88929586 0.93236597
 0.77808353 0.75006884 0.78905441 0.63841547 0.84219909 0.56269726
 0.52204519 0.68157564 0.86995493]"
"('Dist_2-3', 'dip_x')",0.2907146923017988,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.78444717 0.72159895 0.66571609 0.75981854 0.91912846 0.98565127
 0.83684797 0.83043446 0.81462748 0.72649994 0.75872728 0.71401023
 0.578524   0.58501103 0.7227971 ]"
"('Dist_2-3', 'dip_y')",0.24121757614232442,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.79505343 0.83854175 0.79707372 0.76624893 0.83571792 0.76139714
 0.67279828 0.9024635  0.87760092 0.74712459 0.68226579 0.62099747
 0.55064302 0.69388522 0.86202829]"
"('Dist_2-3', 'dip_z')",0.1637465935006368,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.71454288 0.80210286 0.75042677 0.69859071 0.81400673 0.85842123
 0.80526726 0.86260921 0.87179273 0.77533372 0.69724158 0.68462395
 0.59746309 0.6566954  0.81472187]"
"('Dist_2-3', 'B1')",0.2682885421427089,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.76285668 0.81745081 0.76377568 0.75218443 0.8108518  0.86847051
 0.82394973 0.87232769 0.85957176 0.80094249 0.72389956 0.7163365
 0.63007945 0.46053892 0.74060397]"
"('Dist_2-3', 'B5')",0.1821470895951235,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.76422403 0.81183517 0.71888517 0.70276985 0.78724292 0.8764903
 0.78789098 0.88172779 0.82028285 0.74528478 0.7159     0.70523762
 0.59505469 0.61895225 0.87206158]"
